Artist,Song
Agnes Obel,Riverside
Agnes Obel,The Curse
Aphex Twin,Avril 14th
Aphex Twin,aisatsana [102]
Apocalyptica,Nothing Else Matters
"Benal,Katinka Bjerregaard",Sprog
Blacktop Mojo,Underneath
Bobby McFerrin,Don't Worry Be Happy
Darren Korb,Build That Wall (Zia's Theme)
"Darren Korb,Ashley Barrett",Good Riddance (Eurydice Solo)
Dave Brubeck,Take Five
Dizzy Mizz Lizzy,Amelia - Part 5: Alter Echo
Ed Sheeran,I See Fire - From The Hobbit - The Desolation Of Smaug
Enya,Only Time
Evanescence,Good Enough
Evanescence,Hello
Hans Zimmer,Time
"Howard Shore,Enya",The Council of Elrond (feat. Aniron) [Theme for Aragorn and Arwen]
Hozier,Cherry Wine - Live
Hozier,Like Real People Do
James Horner,A Kaleidoscope Of Mathematics - A Beautiful Mind/Soundtrack Version
James Horner,Alicia Discovers Nash's Dark World - A Beautiful Mind/Soundtrack Version
James Horner,Closing Credits - A Beautiful Mind/Soundtrack Version
James Horner,Cracking The Russian Codes - A Beautiful Mind/Soundtrack Version
James Horner,Creating Governing Dynamics - A Beautiful Mind/Soundtrack Version
James Horner,"First Drop-Off, First Kiss - A Beautiful Mind/Soundtrack Version"
James Horner,Looking For The Next Great Idea - A Beautiful Mind/Soundtrack Version
James Horner,Nash Descends Into Parcher's World - A Beautiful Mind/Soundtrack Version
James Horner,"Of One Heart, Of One Mind - A Beautiful Mind/Soundtrack Version"
James Horner,Playing A Game Of Go! - A Beautiful Mind/Soundtrack Version
James Horner,Real Or Imagined? - A Beautiful Mind/Soundtrack Version
James Horner,Saying Goodbye To Those You So Love - A Beautiful Mind/Soundtrack Version
James Horner,Teaching Mathematics Again - A Beautiful Mind/Soundtrack Version
James Horner,The Car Chase - A Beautiful Mind/Soundtrack Version
James Horner,The Prize Of One's Life... The Prize Of One's Mind - A Beautiful Mind/Soundtrack Version
"James Horner,Will Jennings,Charlotte Church",All Love Can Be - A Beautiful Mind/Soundtrack Version
Jason Hayes,Dun Morogh
Jason Hayes,Elwynn Forest
Jessica Mazin,Never Let Me Down Again
John Lennon,Imagine - Remastered 2010
"John Williams,London Symphony Orchestra",Across the Stars (Love Theme from Star Wars: Episode II)
"Joseph Williams,Sally Dworsky,Nathan Lane,Ernie Sabella,Kristle Edwards",Can You Feel the Love Tonight
Kanye West,All Of The Lights (Interlude)
Kyle Dixon & Michael Stein,Kids
Ludovico Einaudi,Primavera
"Ludovico Einaudi,Robert Ziegler,Royal Philharmonic Orchestra",Divenire
Madilyn Bailey,Radioactive
Madilyn Bailey,Skyfall
Mark Knopfler,Irish Boy
Nine Inch Nails,Hurt
Nirvana,Something In The Way
Norah Jones,Don't Know Why
Peter Gabriel,My Body Is A Cage
Rage Against The Machine,Beautiful World
Ramin Djawadi,A Forest
Ramin Djawadi,Back to Black
Ramin Djawadi,Bicameral Mind
Ramin Djawadi,Black Hole Sun
Ramin Djawadi,Do They Dream
Ramin Djawadi,Dr. Ford
Ramin Djawadi,Exit Music (For a Film)
Ramin Djawadi,Fake Plastic Trees
Ramin Djawadi,Freeze All Motor Functions
Ramin Djawadi,Lament
Ramin Djawadi,MIB
Ramin Djawadi,Memories
Ramin Djawadi,Online
Ramin Djawadi,Pariah
Ramin Djawadi,Reverie
Ramin Djawadi,Reveries
Ramin Djawadi,Someday
Ramin Djawadi,Sweetwater Stride
Ramin Djawadi,The Stray
Ramin Djawadi,This World
Ramin Djawadi,Trompe L'Oeil
Ramin Djawadi,What Does This Mean
Richard Marx,Right Here Waiting
SIE Sound Team,Hunter's Dream
SIE Sound Team,The Night Unfurls
"Shakey Graves,Monica Martin",O Death
TOOL,Disposition
TOOL,Eon Blue Apocalypse
TOOL,Intermission
TOOL,Lipan Conjuring
TOOL,Mantra
TOOL,Message To Harry Manback
TOOL,Parabol
The Head And The Heart,Rivers And Roads
Thomas Newman,Revolutionary Road (End Title)
Thomas Newman,Route 12
Thomas Newman,Simple Clean Lines
Thomas Newman,The Bright Young Man
Tina Dickow,Ensom
Tina Dickow,Midt Om Natten
Toshifumi Hinata,Reflections
Tremonti,Found
Vitamin String Quartet,Motion Picture Soundtrack
Vitamin String Quartet,Something I Can Never Have
Whim,Small Infinity
Yann Tiersen,"Comptine d'un autre été, l'après-midi"
