Artist,Song
"2Pac,Roger,Dr. Dre",California Love - Original Version
3 Doors Down,Kryptonite
4 Non Blondes,What's Up?
5 Seconds of Summer,Youngblood
50 Cent,In Da Club
ABBA,Dancing Queen
AC/DC,Back In Black
AC/DC,You Shook Me All Night Long
Aerosmith,Dream On
"Akon,Eminem",Smack That
Arctic Monkeys,Do I Wanna Know?
Arctic Monkeys,I Wanna Be Yours
Backstreet Boys,I Want It That Way
Bill Withers,Ain't No Sunshine
Blur,Song 2 - 2012 Remaster
Bon Jovi,Livin' On A Prayer
Bon Jovi,You Give Love A Bad Name
Britney Spears,Gimme More
Bryan Adams,Summer Of '69
"Calvin Harris,Dua Lipa",One Kiss (with Dua Lipa)
"Calvin Harris,Ellie Goulding",Outside (feat. Ellie Goulding)
Clubraiders,Move Your Hands Up (Radio Mix)
"David Guetta,Bebe Rexha",I'm Good (Blue)
Defences,Losing Time
Dire Straits,Sultans Of Swing
"Dua Lipa,DaBaby",Levitating (feat. DaBaby)
Elton John,I'm Still Standing
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)"
Eminem,Mockingbird
"Eminem,Dido",Stan
Fleetwood Mac,The Chain - 2004 Remaster
"Flo Rida,T-Pain",Low (feat. T-Pain)
Foo Fighters,Everlong
Foo Fighters,The Pretender
Foreigner,I Want to Know What Love Is - 1999 Remaster
Foster The People,Pumped Up Kicks
George Michael,Careless Whisper
Gorillaz,Feel Good Inc.
Green Day,American Idiot
Green Day,Basket Case
INTERWORLD,METAMORPHOSIS
Juice WRLD,Lucid Dreams
Justin Timberlake,Mirrors
Justin Timberlake,Rock Your Body
Kate Bush,Running Up That Hill (A Deal With God)
Kordhell,Murder In My Mind
"Kungs,Cookin' On 3 Burners",This Girl - Kungs Vs. Cookin' On 3 Burners
Lana Del Rey,Doin' Time
Lil Peep,Star Shopping
Lil Uzi Vert,XO Tour Llif3
Linkin Park,In the End
"Metro Boomin,A$AP Rocky,Roisee","Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)"
"Metro Boomin,The Weeknd,21 Savage",Creepin' (with The Weeknd & 21 Savage)
Nelly Furtado,Say It Right
Netsky,Iron Heart
"Netsky,Darrison",Escape
Nickelback,How You Remind Me
Norah Jones,Don't Know Why
Olivia Rodrigo,good 4 u
Outkast,Hey Ya!
Outkast,Ms. Jackson
Paramore,Still into You
"Pitbull,Kesha",Timber (feat. Ke$ha)
Post Malone,Better Now
Queen,Crazy Little Thing Called Love - Remastered 2011
Queen,Don't Stop Me Now - Remastered 2011
Red Hot Chili Peppers,Californication
Red Hot Chili Peppers,Can't Stop
Red Hot Chili Peppers,Otherside
Red Hot Chili Peppers,Scar Tissue
SUICIDAL-IDOL,ecstacy (slowed)
Sean Paul,Get Busy
Sean Paul,Temperature
"Shakira,Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean)
Spice Girls,Wannabe
Steve Lacy,Bad Habit
Suspekt,Energi
Suspekt,Luder
Suspekt,Opskriften
TLC,No Scrubs
Tears For Fears,Everybody Wants To Rule The World
"The Chainsmokers,Halsey",Closer
"The Game,50 Cent",Hate It Or Love It
The Goo Goo Dolls,Iris
The Police,Every Breath You Take
The Police,Roxanne
The Weeknd,Blinding Lights
The Weeknd,Save Your Tears
"The Weeknd,Daft Punk",Starboy
"The Weeknd,Playboi Carti,Madonna",Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series
The White Stripes,Seven Nation Army
Tracy Chapman,Fast Car
Travis Scott,goosebumps
Vance Joy,Riptide
WALK THE MOON,Shut Up and Dance
Wham!,Last Christmas - Single Version
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me)
"Wiz Khalifa,Empire of the Sun",The Thrill
blink-182,All The Small Things
bôa,Duvet
