Artist,Song
"2Pac,Talent",Changes
A Perfect Circle,The Outsider
A Tribe Called Quest,Go Ahead In the Rain
A Tribe Called Quest,What?
A Tribe Called Quest,Youthful Expression
AC/DC,Hells Bells
Aerosmith,Walk This Way
"Ali B,Nick Thayer",N E Way
Allie X,Sanctuary
Alter Bridge,Island of Fools
Alter Bridge,Metalingus
Alter Bridge,The Last Hero
Alter Bridge,This Side of Fate
Alter Bridge,White Knuckles
Aphex Twin,Xtal
Apocalyptica,Path - Vol. 1
Aretha Franklin,Respect
Ariana Grande,Be Alright
Atmosphere,You
Audioslave,Like a Stone
Audioslave,One And The Same
Audioslave,Revelations
"BRKLYN,Jocelyn Alice",I'm on Somethin'
Backstreet Boys,Everybody (Backstreet's Back) - Radio Edit
Backstreet Boys,Larger Than Life
Bee Gees,More Than A Woman
Bee Gees,Night Fever - 2009 Remastered Version
Bell Biv DeVoe,Poison
Benal,Hånd I Hånd
"Benal,Clara Sofie",Når Du Kigger På Mig (feat. Clara Sofie)
"Benal,Marie Key",Hvad Nu (feat. Marie Key)
"Benal,Orgi-E",Hele Tiden (feat. Orgi-E)
Beyoncé,Green Light
"Beyoncé,JAY-Z",Deja Vu (feat. Jay-Z)
"Bill Medley,Jennifer Warnes",(I've Had) The Time of My Life
Boston,More Than a Feeling
Brand Nubian,Brand Nubian - 2006 Remastered Version
Bridge to Grace,Without You
Bring Me The Horizon,Oh No
Bring Me The Horizon,mother tongue
Britney Spears,Gimme More
Brother Dege,Too Old to Die Young
"Bruce Hornsby,The Range",The Way It Is
Bruno Mars,24K Magic
Busted,Year 3000
Celldweller,Switchback
"Charlie Puth,Kehlani",Done for Me (feat. Kehlani)
"Cheat Codes,Demi Lovato",No Promises (feat. Demi Lovato)
Childish Gambino,Retro [ROUGH]
"Childish Gambino,Oliver",Heartbeat (OLIVER Remix) - Oliver Remix
Chris Isaak,Wicked Game - Remastered
"Christina Aguilera,Lil' Kim,Mýa,P!nk",Lady Marmalade
"Christopher,Brandon Beal",CPH Girls (feat. Brandon Beal)
"Classified,Olly Murs",Inner Ninja (feat. Olly Murs)
"Clean Bandit,Julia Michaels",I Miss You (feat. Julia Michaels)
College & Electric Youth,A Real Hero
Cornershop,Brimful of Asha
Cream,White Room
Cut 'N' Move,Get Serious - Take No Crap
DJ Quik,Pitch In OnA Party
Daft Punk,Da Funk
Daft Punk,Robot Rock
Daft Punk,Veridis Quo
Darren Korb,Build That Wall (Zia's Theme)
"Daul,Charli Taft",In Touch
David Bowie,Let's Dance - 2018 Remaster
Deep Blue Something,Breakfast At Tiffany's
Defences,Alleviate
Defences,Grow
Defences,Let You In
Defences,Might And Main
Depeche Mode,Enjoy the Silence
Depeche Mode,Never Let Me Down Again
Desire,Under Your Spell
Det Brune Punktum,Kom lad os gå
Det Brune Punktum,Vi skal ud i det blå
Dexys Midnight Runners,Come On Eileen
Diana Ross,I'm Coming Out
Diana Ross,Upside Down
Dio,Stand Up And Shout
Disclosure,Molecules
"Disclosure,Jordan Rakei",Masterpiece
"Disclosure,London Grammar",Help Me Lose My Mind
"Disclosure,Miguel",Good Intentions
"Disclosure,Sam Smith",Omen
"Disclosure,Sam Smith",Omen - Radio Edit
Disturbed,Land Of Confusion
Disturbed,Ten Thousand Fists
Dizzy Mizz Lizzy,Riff sang - 2010 Digital Remaster
Dizzy Mizz Lizzy,Run - 2010 Digital Remaster
