Artist,Song
"2Pac,Roger,Dr. Dre",California Love - Original Version
3 Doors Down,Kryptonite
4 Non Blondes,What's Up?
5 Seconds of Summer,Youngblood
50 Cent,In Da Club
50 Cent,Many Men (Wish Death)
50 Cent,P.I.M.P.
ABBA,Dancing Queen
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight)
AC/DC,Back In Black
AC/DC,You Shook Me All Night Long
Aerosmith,Dream On
Akon,Lonely
"Akon,Eminem",Smack That
Arctic Monkeys,Arabella
Arctic Monkeys,Do I Wanna Know?
Arctic Monkeys,I Wanna Be Yours
Arctic Monkeys,Snap Out Of It
Audioslave,Like a Stone
Avril Lavigne,Complicated
Backstreet Boys,I Want It That Way
"Beyoncé,JAY-Z",Crazy In Love (feat. Jay-Z)
Bill Withers,Ain't No Sunshine
Billy Joel,Uptown Girl
Blur,Song 2 - 2012 Remaster
Bon Jovi,It's My Life
Bon Jovi,Livin' On A Prayer
Bon Jovi,You Give Love A Bad Name
Bonnie Tyler,Total Eclipse of the Heart
Boston,More Than a Feeling
Bring Me The Horizon,Can You Feel My Heart
Britney Spears,Gimme More
Bruno Mars,24K Magic
Bryan Adams,Summer Of '69
"Calvin Harris,Disciples",How Deep Is Your Love
"Calvin Harris,Dua Lipa",One Kiss (with Dua Lipa)
"Calvin Harris,Ellie Goulding",Outside (feat. Ellie Goulding)
Corinne Bailey Rae,Put Your Records On
Cutting Crew,(I Just) Died In Your Arms
Cyndi Lauper,Girls Just Want to Have Fun
Cyndi Lauper,Time After Time
Daryl Hall & John Oates,Maneater
Daryl Hall & John Oates,You Make My Dreams (Come True)
"David Guetta,Bebe Rexha",I'm Good (Blue)
Dennis Lloyd,Nevermind
Dire Straits,Sultans Of Swing
Dua Lipa,IDGAF
"Dua Lipa,DaBaby",Levitating (feat. DaBaby)
Dxrk ダーク,RAVE
Elton John,I'm Still Standing
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)"
"Elton John,Kiki Dee",Don't Go Breaking My Heart
Eminem,Mockingbird
"Eminem,Dido",Stan
"Fifth Harmony,Ty Dolla $ign",Work from Home (feat. Ty Dolla $ign)
Fleetwood Mac,The Chain - 2004 Remaster
Flo Rida,My House
Flo Rida,Whistle
"Flo Rida,T-Pain",Low (feat. T-Pain)
Foo Fighters,Everlong
Foo Fighters,The Pretender
Foreigner,I Want to Know What Love Is - 1999 Remaster
Foster The People,Pumped Up Kicks
George Michael,Careless Whisper
Gorillaz,Feel Good Inc.
Green Day,American Idiot
Green Day,Basket Case
INTERWORLD,METAMORPHOSIS
Ice Cube,You Know How We Do It
Joan Jett & the Blackhearts,I Love Rock 'N Roll
John Lennon,Imagine - Remastered 2010
Juice WRLD,Lucid Dreams
Juice WRLD,Wishing Well
Justin Timberlake,Mirrors
Justin Timberlake,Rock Your Body
"Justin Timberlake,Timbaland",SexyBack (feat. Timbaland)
Kate Bush,Running Up That Hill (A Deal With God)
Kesha,Die Young
Kim Carnes,Bette Davis Eyes
Kordhell,Murder In My Mind
"Kygo,Selena Gomez",It Ain't Me (with Selena Gomez)
Lana Del Rey,Doin' Time
Led Zeppelin,Immigrant Song - Remaster
Led Zeppelin,Stairway to Heaven - Remaster
Lil Peep,Star Shopping
Lil Uzi Vert,XO Tour Llif3
"Lil Uzi Vert,Oh Wonder",The Way Life Goes (feat. Oh Wonder)
Linkin Park,Crawling
Linkin Park,In the End
Linkin Park,One Step Closer
Mariah Carey,Fantasy
"Martin Garrix,Bebe Rexha",In the Name of Love
"Meghan Trainor,John Legend",Like I'm Gonna Lose You (feat. John Legend)
"Metro Boomin,A$AP Rocky,Roisee","Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)"
"Metro Boomin,The Weeknd,21 Savage",Creepin' (with The Weeknd & 21 Savage)
Modern Talking,Cheri Cheri Lady
Nelly Furtado,Say It Right
Nickelback,How You Remind Me
Olivia Rodrigo,good 4 u
One Direction,Drag Me Down
Otis Redding,(Sittin' On) the Dock of the Bay
Outkast,Hey Ya!
Outkast,Ms. Jackson
Panic! At The Disco,High Hopes
Paramore,Still into You
Pearl Jam,Even Flow
"Pitbull,Kesha",Timber (feat. Ke$ha)
"Playboi Carti,Lil Uzi Vert",Shoota (feat. Lil Uzi Vert)
Post Malone,Better Now
Post Malone,I Fall Apart
Queen,Crazy Little Thing Called Love - Remastered 2011
