Artist,Song
Aerosmith,Dream On
Aerosmith,Walk This Way
Alice Cooper,Poison
"America,George Martin",A Horse with No Name - 2006 Remaster
Billy Idol,Rebel Yell
Billy Idol,White Wedding - Pt.1
Billy Joel,Piano Man
Billy Joel,Uptown Girl
Billy Joel,We Didn't Start the Fire
Billy Squier,The Stroke
Black Sabbath,Iron Man
Black Sabbath,War Pigs
Blue Öyster Cult,(Don't Fear) The Reaper
Boston,More Than a Feeling
"Bruce Hornsby,The Range",The Way It Is
Cream,Sunshine Of Your Love
Cream,White Room
Cutting Crew,(I Just) Died In Your Arms
Daryl Hall & John Oates,Maneater
Daryl Hall & John Oates,You Make My Dreams (Come True)
Def Leppard,Pour Some Sugar On Me - Remastered 2017
Dio,Don't Talk To Strangers
Dio,Holy Diver
Dio,Rainbow In The Dark
Dio,Stand Up And Shout
Dio,Straight Through The Heart
Dire Straits,Heavy Fuel
Dire Straits,Money for Nothing
Dire Straits,Sultans Of Swing
Dire Straits,Walk Of Life
Duran Duran,Ordinary World - Acoustic
Europe,The Final Countdown
Fleetwood Mac,Dreams
Fleetwood Mac,Everywhere
Fleetwood Mac,Go Your Own Way
Fleetwood Mac,Little Lies
Fleetwood Mac,Oh Well - Live
Fleetwood Mac,The Chain - 2004 Remaster
Foreigner,Cold as Ice
Foreigner,Hot Blooded
Foreigner,I Want to Know What Love Is - 1999 Remaster
Foreigner,Juke Box Hero
Foreigner,Waiting for a Girl like You
Genesis,I Can't Dance - Remastered 2007
Genesis,Land Of Confusion - Remastered 2007
Huey Lewis & The News,Hip To Be Square
Jefferson Airplane,Somebody to Love
Jefferson Airplane,Today
Jefferson Airplane,White Rabbit
Jimi Hendrix,All Along the Watchtower
Jimi Hendrix,Purple Haze
Jimi Hendrix,Voodoo Child (Slight Return)
Jimi Hendrix,"Who Knows - Live At Fillmore East, 1970 / 50th Anniversary"
Journey,Any Way You Want It
Journey,Don't Stop Believin'
Judas Priest,Breaking the Law
Judas Priest,You've Got Another Thing Coming
Kansas,Carry on Wayward Son
Kenny Loggins,Danger Zone - From Top Gun Original Soundtrack
Kenny Loggins,Footloose
Led Zeppelin,Immigrant Song - Remaster
Led Zeppelin,Kashmir - Remaster
Led Zeppelin,Stairway to Heaven - Remaster
Led Zeppelin,Ten Years Gone - Remaster
Led Zeppelin,Whole Lotta Love - 1990 Remaster
Lynyrd Skynyrd,Free Bird
Lynyrd Skynyrd,Sweet Home Alabama
Men At Work,Down Under
Men At Work,Overkill
Men At Work,Who Can It Be Now?
Mötley Crüe,Kickstart My Heart
Ozzy Osbourne,Crazy Train
Ozzy Osbourne,Hellraiser
Ozzy Osbourne,Sunshine Of Your Love
Peter Gabriel,My Body Is A Cage
Peter Gabriel,Sledgehammer
Pink Floyd,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version"
Pink Floyd,Money - 2011 Remastered Version
Quiet Riot,Cum on Feel the Noize
Rush,Limelight
Rush,Tom Sawyer
Scorpions,Rock You Like a Hurricane (2015 - Remaster)
Scorpions,Wind Of Change
Simple Minds,Don't You (Forget About Me)
Starship,Nothing's Gonna Stop Us Now
Starship,We Built This City
Steppenwolf,Born To Be Wild
Steppenwolf,Magic Carpet Ride
Steve Miller Band,The Joker
Survivor,Burning Heart - From Rocky IV Soundtrack
Survivor,Eye of the Tiger
TOTO,Africa
TOTO,Rosanna
Ted Nugent,Stranglehold
The Animals,House of the Rising Sun
The B-52's,Love Shack - Edit
The Bangles,Eternal Flame
The Bangles,Manic Monday
The Bangles,Walk Like an Egyptian
The Doors,Riders on the Storm
The Doors,The End
The J. Geils Band,Centerfold
The Kinks,You Really Got Me - Mono LP With Reverb
The Outfield,Your Love
The Police,Every Breath You Take
The Police,Message In A Bottle
The Police,Roxanne
The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002
The Rolling Stones,Gimme Shelter
The Rolling Stones,Start Me Up - Remastered 2009
Thin Lizzy,The Boys Are Back In Town
Tom Petty,Free Fallin'
Tom Petty,Love Is A Long Road
Tom Petty,Runnin' Down A Dream
Twisted Sister,I Wanna Rock (Remastered Album Version)
Twisted Sister,We're Not Gonna Take It
Van Halen,Ain't Talkin' 'Bout Love - 2015 Remaster
Van Halen,Jump
Van Halen,Panama - 2015 Remaster
Whitesnake,Here I Go Again
Whitesnake,Is This Love - 2018 Remaster
Whitesnake,Still of the Night - 2018 Remaster
Yes,Owner of a Lonely Heart
ZZ Top,Gimme All Your Lovin'
ZZ Top,La Grange - 2005 Remaster
ZZ Top,Sharp Dressed Man - 2008 Remaster
