Artist,Song
A Perfect Circle,The Outsider
Alice In Chains,Down In A Hole (2022 Remaster)
Alice In Chains,Nutshell
Alice In Chains,Rooster (2022 Remaster)
Alice In Chains,Them Bones (2022 Remaster)
Alice In Chains,Would? (2022 Remaster)
Audioslave,#1 Zero
Audioslave,Be Yourself
Audioslave,Bring Em Back Alive
Audioslave,Broken City
Audioslave,Cochise
Audioslave,Dandelion
Audioslave,Doesn't Remind Me
Audioslave,Drown Me Slowly
Audioslave,Exploder
Audioslave,Gasoline
Audioslave,Getaway Car
Audioslave,Heaven's Dead
Audioslave,Hypnotize
Audioslave,I Am the Highway
Audioslave,Jewel Of The Summertime
Audioslave,Light My Way
Audioslave,Like a Stone
Audioslave,Man Or Animal
Audioslave,Moth
Audioslave,Nothing Left To Say But Goodbye
Audioslave,One And The Same
Audioslave,Original Fire
Audioslave,Out Of Exile
Audioslave,Out of Exile - Live at the Quart Festival
Audioslave,Revelations
Audioslave,Set It Off
Audioslave,Shadow on the Sun
Audioslave,Shape of Things to Come
Audioslave,Show Me How to Live
Audioslave,Somedays
Audioslave,Sound Of A Gun
Audioslave,The Curse
Audioslave,The Last Remaining Light
Audioslave,The Worm
Audioslave,Until We Fall
Audioslave,What You Are
Audioslave,Wide Awake
Audioslave,Yesterday To Tomorrow
Audioslave,Your Time Has Come
Beck,Colors
Blur,Song 2 - 2012 Remaster
CAKE,Short Skirt / Long Jacket
Foo Fighters,All My Life
Foo Fighters,Everlong
Foo Fighters,Learn to Fly
Foo Fighters,My Hero
Foo Fighters,The Pretender
Incubus,Drive
Jimi Hendrix,All Along the Watchtower
Jimi Hendrix,Purple Haze
Jimi Hendrix,Voodoo Child (Slight Return)
Jimi Hendrix,"Who Knows - Live At Fillmore East, 1970 / 50th Anniversary"
Jimmy Eat World,Bleed American
Jimmy Eat World,Sweetness
"Kid Cudi,MGMT,Ratatat",Pursuit Of Happiness (Nightmare)
MGMT,Electric Feel
MGMT,Kids
MGMT,Time to Pretend
Muse,Psycho
New Order,Blue Monday '88
Nine Inch Nails,Discipline
Nine Inch Nails,Hurt
Pearl Jam,Alive
Pearl Jam,Even Flow
Portishead,Glory Box
Radiohead,Everything In Its Right Place
Radiohead,Karma Police
Rage Against The Machine,Ashes In the Fall
Rage Against The Machine,Beautiful World
Rage Against The Machine,Bombtrack
Rage Against The Machine,Born As Ghosts
Rage Against The Machine,Born Of A Broken Man
Rage Against The Machine,Bullet In the Head
Rage Against The Machine,Bulls On Parade
Rage Against The Machine,Bulls on Parade
Rage Against The Machine,Calm Like a Bomb
Rage Against The Machine,Down On The Street
Rage Against The Machine,Down Rodeo
Rage Against The Machine,Fistful of Steel
Rage Against The Machine,Freedom
Rage Against The Machine,Guerilla Radio
Rage Against The Machine,Guerrilla Radio
Rage Against The Machine,How I Could Just Kill A Man
Rage Against The Machine,How I Could Just Kill a Man
Rage Against The Machine,I'm Housin'
Rage Against The Machine,In My Eyes
Rage Against The Machine,Kick out the Jams
Rage Against The Machine,Killing In The Name
Rage Against The Machine,Killing In the Name
Rage Against The Machine,Know Your Enemy
Rage Against The Machine,Maggie's Farm
Rage Against The Machine,Maria
Rage Against The Machine,Mic Check
Rage Against The Machine,Microphone Fiend
Rage Against The Machine,New Millennium Homes
Rage Against The Machine,People of the Sun
Rage Against The Machine,Pistol Grip Pump
Rage Against The Machine,Renegades Of Funk
Rage Against The Machine,Revolver
Rage Against The Machine,Roll Right
Rage Against The Machine,Settle for Nothing
Rage Against The Machine,Sleep Now In the Fire
Rage Against The Machine,Snakecharmer
Rage Against The Machine,Street Fighting Man
Rage Against The Machine,Take the Power Back
Rage Against The Machine,Testify
Rage Against The Machine,The Ghost of Tom Joad
Rage Against The Machine,Tire Me
Rage Against The Machine,Township Rebellion
Rage Against The Machine,Vietnow
Rage Against The Machine,Voice of the Voiceless
Rage Against The Machine,Wake Up
Rage Against The Machine,War Within a Breath
Rage Against The Machine,Wind Below
Rage Against The Machine,Without a Face
Rage Against The Machine,Year of tha Boomerang
Red Hot Chili Peppers,By The Way
Red Hot Chili Peppers,By the Way
Red Hot Chili Peppers,Californication
Red Hot Chili Peppers,Can't Stop
Red Hot Chili Peppers,Dani California
Red Hot Chili Peppers,Otherside
Red Hot Chili Peppers,Scar Tissue
Red Hot Chili Peppers,Snow [Hey Oh]
Red Hot Chili Peppers,Under The Bridge
Soundgarden,Black Hole Sun
The Black Keys,Gold on the Ceiling
The Clash,Should I Stay or Should I Go - Remastered
The Hives,Tick Tick Boom
The Killers,Mr. Brightside
The Raconteurs,Salute Your Solution
The Raconteurs,"Steady, As She Goes"
The White Stripes,Blue Orchid
The White Stripes,Fell In Love With a Girl
The White Stripes,Icky Thump
The White Stripes,Seven Nation Army
Third Eye Blind,Semi-Charmed Life
