Artist,Song
Aerosmith,Dream On
Aerosmith,Walk This Way
Alice Cooper,Poison
"America,George Martin",A Horse with No Name - 2006 Remaster
Billy Idol,Rebel Yell
Billy Idol,White Wedding - Pt.1
Billy Joel,Piano Man
Billy Joel,Uptown Girl
Billy Joel,We Didn't Start the Fire
Billy Squier,The Stroke
Black Sabbath,Iron Man
Black Sabbath,War Pigs
Blue Öyster Cult,(Don't Fear) The Reaper
Boston,More Than a Feeling
Cream,Sunshine Of Your Love
Cream,White Room
Creedence Clearwater Revival,Bad Moon Rising
Creedence Clearwater Revival,Fortunate Son
Creedence Clearwater Revival,Have You Ever Seen The Rain
Daryl Hall & John Oates,Maneater
Daryl Hall & John Oates,You Make My Dreams (Come True)
David Bowie,Let's Dance - 2018 Remaster
David Bowie,Space Oddity - 2015 Remaster
Def Leppard,Pour Some Sugar On Me - Remastered 2017
Dire Straits,Heavy Fuel
Dire Straits,Money for Nothing
Dire Straits,Sultans Of Swing
Dire Straits,Walk Of Life
Don McLean,American Pie
Fleetwood Mac,Dreams
Fleetwood Mac,Everywhere
Fleetwood Mac,Go Your Own Way
Fleetwood Mac,Little Lies
Fleetwood Mac,Oh Well - Live
Fleetwood Mac,The Chain - 2004 Remaster
Foreigner,Cold as Ice
Foreigner,Hot Blooded
Foreigner,I Want to Know What Love Is - 1999 Remaster
Foreigner,Juke Box Hero
Foreigner,Waiting for a Girl like You
Genesis,I Can't Dance - Remastered 2007
Genesis,Land Of Confusion - Remastered 2007
Herman's Hermits,No Milk Today - Mono Version
Huey Lewis & The News,Hip To Be Square
Jefferson Airplane,Somebody to Love
Jefferson Airplane,Today
Jefferson Airplane,White Rabbit
Jimi Hendrix,All Along the Watchtower
Jimi Hendrix,Purple Haze
Jimi Hendrix,Voodoo Child (Slight Return)
Jimi Hendrix,"Who Knows - Live At Fillmore East, 1970 / 50th Anniversary"
John Lennon,Imagine - Remastered 2010
Journey,Any Way You Want It
Journey,Don't Stop Believin'
Kansas,Carry on Wayward Son
Kenny Loggins,Danger Zone - From Top Gun Original Soundtrack
Kenny Loggins,Footloose
Led Zeppelin,Immigrant Song - Remaster
Led Zeppelin,Kashmir - Remaster
Led Zeppelin,Stairway to Heaven - Remaster
Led Zeppelin,Ten Years Gone - Remaster
Led Zeppelin,Whole Lotta Love - 1990 Remaster
Lynyrd Skynyrd,Free Bird
Lynyrd Skynyrd,Sweet Home Alabama
"Marc Bolan,T. Rex",20th Century Boy
Men At Work,Down Under
Men At Work,Overkill
Men At Work,Who Can It Be Now?
Neil Young,Old Man - 2017 Remaster
Neil Young,Rockin' in the Free World
Norman Greenbaum,Spirit in the Sky
Ozzy Osbourne,Crazy Train
Ozzy Osbourne,Hellraiser
Ozzy Osbourne,Sunshine Of Your Love
Paul Simon,You Can Call Me Al
Peter Gabriel,My Body Is A Cage
Peter Gabriel,Sledgehammer
Pink Floyd,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version"
Pink Floyd,Money - 2011 Remastered Version
"Public Enemy,Stephen Stills",He Got Game
Queen,Another One Bites The Dust - Remastered 2011
Queen,Crazy Little Thing Called Love - Remastered 2011
Queen,Don't Stop Me Now - Remastered 2011
Queen,I Want To Break Free - Single Remix
Queen,Radio Ga Ga - Remastered 2011
Queen,We Are The Champions - Remastered 2011
Queen,We Will Rock You - Remastered 2011
"Queen,David Bowie",Under Pressure - Remastered 2011
Quiet Riot,Cum on Feel the Noize
"Rihanna,Kanye West,Paul McCartney",FourFiveSeconds
Rush,Limelight
Rush,Tom Sawyer
Soundgarden,Black Hole Sun
Starship,Nothing's Gonna Stop Us Now
Starship,We Built This City
Steppenwolf,Born To Be Wild
Steppenwolf,Magic Carpet Ride
Steve Miller Band,The Joker
TOTO,Africa
TOTO,Rosanna
Ted Nugent,Stranglehold
The Animals,House of the Rising Sun
The B-52's,Love Shack - Edit
The Doors,Riders on the Storm
The Doors,The End
The J. Geils Band,Centerfold
The Kinks,You Really Got Me - Mono LP With Reverb
The Police,Every Breath You Take
The Police,Message In A Bottle
The Police,Roxanne
The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002
The Rolling Stones,Gimme Shelter
The Rolling Stones,Start Me Up - Remastered 2009
Thin Lizzy,The Boys Are Back In Town
Tom Petty,Free Fallin'
Tom Petty,Love Is A Long Road
Tom Petty,Runnin' Down A Dream
Van Halen,Ain't Talkin' 'Bout Love - 2015 Remaster
Van Halen,Jump
Van Halen,Panama - 2015 Remaster
Whitesnake,Here I Go Again
Whitesnake,Is This Love - 2018 Remaster
Whitesnake,Still of the Night - 2018 Remaster
Yes,Owner of a Lonely Heart
ZZ Top,Gimme All Your Lovin'
ZZ Top,La Grange - 2005 Remaster
ZZ Top,Sharp Dressed Man - 2008 Remaster
