Artist,Song
"50 Cent,Justin Timberlake,Timbaland",Ayo Technology
"AFROJACK,Martin Garrix",Turn Up The Speakers
Akon,Don't Matter
Akon,Locked Up
Akon,Lonely
"Akon,Eminem",Smack That
"Alex Gaudino,Kelly Rowland",What a Feeling (feat. Kelly Rowland) - Radio Edit
"Ariana Grande,Iggy Azalea",Problem
Avicii,Addicted To You
Avicii,Hey Brother
Avicii,Levels - Original Version
Avicii,Silhouettes - Original Radio Edit
Avicii,Sunset Jesus
Avicii,Sweet Dreams - Avicii Swede Dreams Mix
Avicii,Wake Me Up
Avicii,You Make Me
"Avicii,Aloe Blacc",SOS
"Avicii,CAZZETTE,Sebastian Furrer,Alexander Björklund",Levels - Cazzette's NYC Mode Mix
"Avicii,Lenny Kravitz",Superlove (Avicii vs. Lenny Kravitz) - Radio Edit
"Avicii,Rita Ora",Lonely Together (feat. Rita Ora)
"Avicii,Sandro Cavazza",Without You (feat. Sandro Cavazza)
"Avicii,Sebastien Drums",My Feelings for You
Avril Lavigne,Complicated
Avril Lavigne,I'm with You
Avril Lavigne,Sk8er Boi
"Avril Lavigne,Chad Kroeger",Let Me Go
"B.o.B,Hayley Williams",Airplanes (feat. Hayley Williams of Paramore)
Backstreet Boys,Everybody (Backstreet's Back) - Radio Edit
Backstreet Boys,I Want It That Way
Backstreet Boys,Larger Than Life
Bebe Rexha,(Not) The One
"Beyoncé,Shakira",Beautiful Liar
Black Eyed Peas,Let's Get It Started - Spike Mix
"Blu Cantrell,Sean Paul",Breathe (feat. Sean Paul) - Rap Version
"Bob Sinclar,Avicii",New New New - Avicii Meets Yellow Remix
Britney Spears,Gimme More
Britney Spears,Toxic
Bruno Mars,24K Magic
Calvin Harris,Acceptable in the 80's
Calvin Harris,I'm Not Alone - Radio Edit
"Calvin Harris,Ayah Marar",Thinking About You (feat. Ayah Marar)
"Calvin Harris,Disciples",How Deep Is Your Love
"Calvin Harris,Dua Lipa",One Kiss (with Dua Lipa)
"Calvin Harris,Ellie Goulding",Outside (feat. Ellie Goulding)
Cassie,Me & U
Cheryl,Under The Sun
Christina Aguilera,Ain't No Other Man
Christina Aguilera,Beautiful
Christina Aguilera,Candyman
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version
Christina Aguilera,Fighter
Christina Aguilera,Genie in a Bottle
"Christina Aguilera,Lil' Kim,Mýa,P!nk",Lady Marmalade
"Christina Aguilera,Redman",Dirrty
"Classified,Olly Murs",Inner Ninja (feat. Olly Murs)
"Clean Bandit,Jess Glynne",Rather Be (feat. Jess Glynne)
Cyndi Lauper,Girls Just Want to Have Fun
Cyndi Lauper,Time After Time
"DJ Snake,AlunaGeorge",You Know You Like It
David Guetta,Love Don't Let Me Go
"David Guetta,AFROJACK,Charli XCX,French Montana",Dirty Sexy Money (feat. Charli XCX & French Montana)
"David Guetta,Bebe Rexha",I'm Good (Blue)
"David Guetta,Benny Benassi,Hardwell,Maddix",Satisfaction - Hardwell & Maddix Remix
"David Guetta,Dirty South,Sebastian Ingrosso,Julie McKnight",How Soon Is Now - Dirty South
"David Guetta,Kelly Rowland",When Love Takes Over (feat. Kelly Rowland)
"David Guetta,Kid Cudi",Memories (feat. Kid Cudi)
"David Guetta,MORTEN,RAYE",Make It to Heaven (with Raye)
"David Guetta,Martin Garrix,Brooks",Like I Do
"David Guetta,Tocadisco,Chris Willis",Sound Of Letting Go (feat. Chris Willis)
Destiny's Child,Bootylicious
Destiny's Child,Lose My Breath
Destiny's Child,Say My Name
"Dimitri Vegas & Like Mike,David Guetta,R3HAB,Kiiara",Complicated (feat. Kiiara) - R3hab Remix
Dua Lipa,IDGAF
"Dua Lipa,DaBaby",Levitating (feat. DaBaby)
"Dua Lipa,Young Franco",IDGAF - Young Franco Remix
"Eminem,Dido",Stan
"Faithless,Rollo Armstrong,Sister Bliss,Avicii,Goetz",Insomnia 2.0 (Avicii Remix) [Radio Edit]
Fergie,Big Girls Don't Cry (Personal)
Fergie,London Bridge - Dirty Version
Flo Rida,Good Feeling
Flo Rida,I Cry
Flo Rida,My House
Flo Rida,Right Round
Flo Rida,Whistle
"Flo Rida,T-Pain",Low (feat. T-Pain)
"Flume,Tove Lo",Say It
"G-Eazy,Bebe Rexha","Me, Myself & I"
Galantis,No Money
Galantis,Peanut Butter Jelly
"George Michael,Mary J. Blige",As - Remastered 2006
Girls Aloud,Jump
"Gwen Stefani,Akon",The Sweet Escape
"Iggy Azalea,Charli XCX",Fancy
"Iggy Azalea,Jennifer Hudson",Trouble
"Jack Ü,Skrillex,Diplo,Justin Bieber",Where Are Ü Now (with Justin Bieber)
"James Morrison,Nelly Furtado",Broken Strings
Jamiroquai,Canned Heat
Jamiroquai,Cosmic Girl - Remastered
Jamiroquai,Love Foolosophy - Radio Edit
Jamiroquai,Virtual Insanity - Remastered
Jamiroquai,You Give Me Something
Jason Derulo,Kiss the Sky
Jason Derulo,Ridin' Solo
Jennifer Lopez,Get Right
"Jennifer Lopez,Ja Rule",I'm Real (feat. Ja Rule) - Murder Remix
"Jennifer Lopez,Jadakiss,Styles P",Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix
Jess Glynne,My Love - Acoustic
Jessica Simpson,These Boots Are Made for Walkin'
"Jessie J,Ariana Grande,Nicki Minaj",Bang Bang
"Jessie J,Netsky",Nobody's Perfect - Netsky Full Vocal Remix
JoJo,Leave Get Out
JoJo,Too Little Too Late
"John Newman,Alx Veliz",Olé - Alx Veliz Latin Remix
Jordin Sparks,One Step At a Time
"Jordin Sparks,Chris Brown",No Air (feat. Chris Brown)
"Jordin Sparks,Chris Brown",No Air (feat. Chris Brown) - Acoustic Version
Justin Timberlake,CAN'T STOP THE FEELING! (from DreamWorks Animation's TROLLS)
Justin Timberlake,Cry Me a River
Justin Timberlake,Like I Love You
Justin Timberlake,LoveStoned / I Think She Knows (Interlude)
Justin Timberlake,Mirrors
Justin Timberlake,Pusher Love Girl
Justin Timberlake,Rock Your Body
Justin Timberlake,Señorita
Justin Timberlake,What Goes Around.../...Comes Around (Interlude)
"Justin Timberlake,Chris Stapleton",Say Something (feat. Chris Stapleton)
"Justin Timberlake,Paul Oakenfold",Rock Your Body - Paul Oakenfold Mix
"Justin Timberlake,T.I.",My Love (feat. T.I.)
"Justin Timberlake,Timbaland",SexyBack (feat. Timbaland)
"KAYTRANADA,Tinashe",The Worst In Me
"Kanye West,Ludacris",Breathe In Breathe Out
"Kanye West,T-Pain",Good Life
Kelis,Trick Me
Kelly Clarkson,Since U Been Gone
Kesha,Die Young
Kesha,We R Who We R
Lady Gaga,"Eh, Eh (Nothing Else I Can Say)"
Lady Gaga,Perfect Illusion
"Lemaitre,Betty Who",Rocket Girl (Feat. Betty Who)
"Lil' Kim,JAY-Z",Big Momma Thang (feat. Jay-Z)
Madonna,Frozen
Madonna,Hung Up
Madonna,Into the Groove - Edit
Madonna,La Isla Bonita
Madonna,Like a Prayer
Madonna,Like a Virgin
Madonna,Material Girl
Madonna,Vogue
"Madonna,Avicii",Madonna vs. Avicii – Girl Gone Wild - AVICII's UMF Mix
"Madonna,Justin Timberlake,Timbaland",4 Minutes (feat. Justin Timberlake & Timbaland)
"Major Lazer,Justin Bieber,MØ",Cold Water (feat. Justin Bieber & MØ)
"Major Lazer,MØ,DJ Snake",Lean On (feat. MØ & DJ Snake)
"Major Lazer,Nyla,Fuse ODG",Light It Up (feat. Nyla & Fuse ODG) - Remix
"Major Lazer,PARTYNEXTDOOR,Nicki Minaj",Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)
"Major Lazer,Travis Scott,Camila Cabello,Quavo","Know No Better (feat. Travis Scott, Camila Cabello & Quavo)"
Mariah Carey,Fantasy
Mariah Carey,Honey
"Martin Garrix,Bebe Rexha",In the Name of Love
"Martin Garrix,Dua Lipa,Brooks",Scared To Be Lonely - Brooks Remix
"Martin Garrix,USHER",Don't Look Down (feat. Usher)
Mary J. Blige,Family Affair
Missy Elliott,Get Ur Freak On
Missy Elliott,Work It
MØ,Final Song
MØ,Kamikaze
Natalie Imbruglia,Torn
Natasha Bedingfield,Pocketful of Sunshine
Natasha Bedingfield,Soulmate
Natasha Bedingfield,Unwritten
Nelly Furtado,All Good Things (Come To An End)
Nelly Furtado,I'm Like A Bird
Nelly Furtado,Say It Right
"Nelly Furtado,Timbaland",Promiscuous
"Nico & Vinz,Kid Ink,Bebe Rexha",That's How You Know (feat. Kid Ink & Bebe Rexha)
"Ol' Dirty Bastard,Kelis",Got Your Money (feat. Kelis)
Olly Murs,Kiss Me
"Pitbull,Kesha",Timber (feat. Ke$ha)
Rita Ora,How We Do (Party)
"Robin Schulz,Akon",Heatwave (feat. Akon)
"Route 94,Jess Glynne",My Love
"Route 94,Jess Glynne,Sigma",My Love - Sigma Remix
S Club 7,Bring It All Back
"Sam Smith,Joel Corry",Diamonds - Joel Corry Remix
Sean Paul,Get Busy
Sean Paul,Temperature
Sean Paul,We Be Burnin'
"Sean Paul,Beyoncé",Baby Boy (feat. Beyoncé )
Shakira,She Wolf
Shakira,"Whenever, Wherever"
"Shakira,Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean)
Shontelle,Impossible - Main
"Sia,Sean Paul,Le Youth",Cheap Thrills (feat. Sean Paul) - Le Youth Remix
Sigala,Easy Love
"Snakehips,Tinashe,Chance the Rapper",All My Friends (feat. Tinashe & Chance the Rapper)
"Snoop Dogg,Charlie Wilson,Justin Timberlake",Signs
"Snoop Dogg,Wiz Khalifa,Bruno Mars","Young, Wild & Free (feat. Bruno Mars)"
Sophie Ellis-Bextor,Murder On The Dancefloor
Spice Girls,Mama
Spice Girls,Say You'll Be There
Spice Girls,Wannabe
Spice Girls,Who Do You Think You Are
Sugababes,Freak Like Me
Sugababes,Hole In The Head
Sugababes,Round Round
TLC,No Scrubs
Taio Cruz,Dynamite
"Taio Cruz,Flo Rida",Hangover
"Taio Cruz,Ludacris",Break Your Heart
"The Game,Fergie,will.i.am,Snoop Dogg","LA - feat. Snoop Dogg, Will.I.Am & Fergie"
"The Game,Ice Cube,will.i.am,Dr. Dre","Don't Trip - feat. Ice Cube, Dr. Dre & Will.I.Am"
"The Lonely Island,Justin Timberlake",Motherlover
"The Lonely Island,Justin Timberlake,Lady Gaga",3-Way (The Golden Rule)
"The Notorious B.I.G.,Mase,Diddy",Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster
The Pussycat Dolls,I Hate This Part
The Pussycat Dolls,When I Grow Up
"The Weeknd,Playboi Carti,Madonna",Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series
Timbaland,Carry Out (Featuring Justin Timberlake)
Timbaland,Morning After Dark (Featuring Nelly Furtado & SoShy)
"Timbaland,Justin Timberlake,Nelly Furtado",Give It To Me
"Timbaland,Keri Hilson,D.O.E.",The Way I Are
"Timbaland,Keri Hilson,Nicole Scherzinger",Scream - Radio Edit
"Timbaland,OneRepublic",Apologize
"Tinie Tempah,Zara Larsson",Girls Like (feat. Zara Larsson)
Tove Lo,Talking Body
Tove Lo,bitches
Tove Lo,disco tits
"Tove Lo,KREAM",Disco Tits - KREAM Remix
"Tove Lo,KREAM",Talking Body - KREAM Remix
"Tove Lo,Oliver",Disco Tits - Oliver Remix
USHER,Good Kisser - Disclosure Remix
"USHER,Alicia Keys",My Boo
"USHER,Lil Jon,Ludacris",Yeah!
Whitney Houston,How Will I Know
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me)
Years & Years,All For You
