Artist,Song
"112,The Notorious B.I.G.,Ma$e","Only You (feat. The Notorious B.I.G., Ma$e) - Bad Boy Remix"
50 Cent,If I Can't
50 Cent,In Da Club
50 Cent,Just A Lil Bit
50 Cent,Many Men (Wish Death)
50 Cent,P.I.M.P.
"50 Cent,Justin Timberlake,Timbaland",Ayo Technology
"50 Cent,Nate Dogg",21 Questions
"50 Cent,Olivia",Candy Shop
A Tribe Called Quest,8 Million Stories
A Tribe Called Quest,Baby Phife's Return
A Tribe Called Quest,Bonita Applebum - includes 'Can I Kick It' Intro
A Tribe Called Quest,Buggin' Out
A Tribe Called Quest,Busta's Lament
A Tribe Called Quest,Can I Kick It?
A Tribe Called Quest,Check the Rhime
A Tribe Called Quest,Electric Relaxation
A Tribe Called Quest,Excursions
A Tribe Called Quest,Footprints
A Tribe Called Quest,Go Ahead In the Rain
A Tribe Called Quest,Jazz (We've Got)
A Tribe Called Quest,Keeping It Moving
A Tribe Called Quest,Like It Like That
A Tribe Called Quest,Luck of Lucien
A Tribe Called Quest,Mind Power
A Tribe Called Quest,Motivators
A Tribe Called Quest,Oh My God
A Tribe Called Quest,Steve Biko (Stir It Up)
A Tribe Called Quest,The Jam
A Tribe Called Quest,We Can Get Down
A Tribe Called Quest,What Really Goes On
A Tribe Called Quest,What?
A Tribe Called Quest,Youthful Expression
"A Tribe Called Quest,Busta Rhymes,Dinco D,Charlie Brown","Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) - LP Mix"
"A Tribe Called Quest,Faith Evans",Stressed Out (feat. Faith Evans)
"A Tribe Called Quest,Tammy Lucas",1nce Again (feat. Tammy Lucas) - Radio Version
"A Tribe Called Quest,Trugoy The Dove",Award Tour (feat. Trugoy The Dove)
"Beyoncé,JAY-Z",Crazy In Love (feat. Jay-Z)
"Beyoncé,JAY-Z",Deja Vu (feat. Jay-Z)
"Beyoncé,JAY-Z",Upgrade U (feat. Jay-Z)
Big Daddy Kane,Smooth Operator
Black Sheep,The Choice Is Yours (Revisited)
Brand Nubian,Brand Nubian - 2006 Remastered Version
Brand Nubian,Slow Down
"Bring Me The Horizon,Rahzel",heavy metal (feat. Rahzel)
"Cam'ron,Juelz Santana,Freekey Zeekey,Toya",Hey Ma
"Camo & Krooked,Jeru The Damaja,The Caracal Project",Set It Off - The Caracal Project Remix
"Christina Aguilera,Lil' Kim,Mýa,P!nk",Lady Marmalade
"Christina Aguilera,Redman",Dirrty
"Craig Mack,Busta Rhymes,LL COOL J,Rampage,The Notorious B.I.G.","Flava in Ya Ear Remix (feat. The Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage)"
DMX,X Gon' Give It To Ya
De La Soul,Ring Ring Ring
"Eminem,50 Cent,Ca$his,Lloyd Banks",You Don't Know
Eric B. & Rakim,Don't Sweat The Technique
Fugees,Killing Me Softly With His Song
"Fugees,Ms. Lauryn Hill,Wyclef Jean,Pras",Fu-Gee-La
"Fugees,Ms. Lauryn Hill,Wyclef Jean,Pras",Ready or Not
Gang Starr,B.Y.S.
Gang Starr,Blowin' Up The Spot
Gang Starr,Code Of The Streets
Gang Starr,Conspiracy
Gang Starr,Deadly Habitz
Gang Starr,Full Clip
Gang Starr,Gotta Get Over (Taking Loot)
Gang Starr,Mass Appeal
Gang Starr,Moment Of Truth
Gang Starr,Skills
Gang Starr,What I'm Here 4
Gang Starr,Who's Gonna Take The Weight?
Gang Starr,Work
Gang Starr,You Know My Steez
"Gang Starr,Inspectah Deck",Above The Clouds
"Gang Starr,K-Ci,Jo Jo Hailey",Royalty
"Gang Starr,M.O.P.",B.I. Vs. Friendship
"Gang Starr,Total",Discipline
Gravediggaz,1-1800 Suicide
"Guru,Erykah Badu",Plenty
JAY-Z,Dead Presidents II
JAY-Z,Run This Town [Jay-Z + Rihanna + Kanye West]
"JAY-Z,Kanye West",Ni**as In Paris
"JAY-Z,Kanye West,Frank Ocean,The-Dream",No Church In The Wild
"JAY-Z,Kanye West,Otis Redding",Otis
"Jennifer Lopez,Ja Rule",I'm Real (feat. Ja Rule) - Murder Remix
"Jennifer Lopez,Jadakiss,Styles P",Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix
"Kanye West,JAY-Z",Diamonds From Sierra Leone - Remix - Album Version (Explicit)
"Kanye West,JAY-Z,Big Sean",Clique
"Kanye West,Kid Cudi,Raekwon",Gorgeous
LL COOL J,Mama Said Knock You Out
LL COOL J,Phenomenon
"LL COOL J,Boyz II Men",Hey Lover
"Lil' Kim,JAY-Z",Big Momma Thang (feat. Jay-Z)
"Limp Bizkit,Method Man",N 2 Gether Now
M.O.P.,Ante Up (Robbin Hoodz Theory)
MF DOOM,Vomitspit
Masta Ace,Acknowledge
Masta Ace,Beautiful
Masta Ace,Son of Yvonne
"Masta Ace & Marco Polo,Marco Polo,Masta Ace,Smif-N-Wessun",Breukelen Brooklyn (feat. Smif-N-Wessun)
"Masta Ace,Apocalyspe",Da Grind (Featuring Apocalypse)
"Masta Ace,Nikky Bourbon",Mr Bus Driver
"Masta Ace,Pav Bundy,Hypnotic Brass Ensemble,Chuck D",Young Black Intelligent
"Metro Boomin,A$AP Rocky,Roisee","Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)"
Mobb Deep,"Shook Ones, Pt. II"
Mobb Deep,Survival of the Fittest
Mos Def,Hip Hop
Mos Def,Mathematics
"Mos Def,Pharoahe Monch,Nate Dogg",Oh No - (best of decade I version)
"Mura Masa,A$AP Rocky",Love$ick (feat. A$AP Rocky)
Nas,Get Down
Nas,Halftime
Nas,I Can
Nas,It Ain't Hard to Tell
Nas,Memory Lane (Sittin' in da Park)
Nas,N.Y. State of Mind
Nas,One Time 4 Your Mind
Nas,Represent
Nas,Street Dreams
Nas,The Genesis
Nas,The Message
Nas,The World Is Yours
"Nas,AZ,Olu Dara",Life's a Bitch (feat. AZ & Olu Dara)
"Nas,Q-Tip",One Love (feat. Q-Tip)
"Ol' Dirty Bastard,Kelis",Got Your Money (feat. Kelis)
Onyx,Slam
Pete Rock & C.L. Smooth,For Pete's Sake
Pete Rock & C.L. Smooth,Lot's of Lovin
Pete Rock & C.L. Smooth,Straighten It Out
Pete Rock & C.L. Smooth,The Creator
Pete Rock & C.L. Smooth,They Reminisce Over You (T.R.O.Y.)
Pharoahe Monch,Simon Says
"Pras,Ol' Dirty Bastard,Mýa",Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa)
Public Enemy,Harder Than You Think
Public Enemy,Rebel Without A Pause
"Public Enemy,Benny Benassi",Bring The Noise Remix - Benny Benassi Pump - Kin Edit
"Public Enemy,Stephen Stills",He Got Game
"Public Enemy,Terminator X",Buck Wylin
Queen Latifah,U.N.I.T.Y.
Rakim,Guess Who's Back
Rakim,When I B On Tha Mic
Run–D.M.C.,It's Tricky
"Run–D.M.C.,Jason Nevins",It's Like That
Slick Rick,Children's Story
"Stephen,Talib Kweli,KillaGraham","Crossfire, Part II (feat. Talib Kweli & KillaGraham)"
The Beatnuts,Do You Believe?
The Beatnuts,Get Funky
"The Four Owls,DJ Premier",Think Twice
"The Game,50 Cent",Hate It Or Love It
"The Game,50 Cent",How We Do
The Notorious B.I.G.,Hypnotize
The Notorious B.I.G.,Juicy - 2005 Remaster
"The Notorious B.I.G.,Mase & Puff Daddy",Mo Money Mo Problems (feat. Mase & Puff Daddy)
"The Notorious B.I.G.,Mase,Diddy",Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster
"The Roots,Cody Chesnutt",The Seed (2.0)
The Sugarhill Gang,Apache (Jump On It) [4sm Mix]
The Sugarhill Gang,Rapper's Delight
"Viktor Vaughn,MF DOOM",Saliva
"Will Smith,Dru Hill,Kool Moe Dee",Wild Wild West - Album Version - No Intro
Wu-Tang Clan,Rules
"Wu-Tang Clan,Del The Funky Homosapien,Aesop Rock",Preservation
"Wu-Tang Clan,Inspectah Deck,Raekwon,Method Man,Masta Killa,RZA,Ghostface Killah,U-God,Cappadonna,GZA","Protect Ya Neck (The Jump Off) (feat. Inspectah Deck, Raekwon, Method Man, Masta Killa, RZA, Ghostface Killah, U-God, Cappadonna & GZA)"
"Wu-Tang Clan,RZA,Method Man,Ghostface Killah,Raekwon,U-God","Gravel Pit (feat. RZA, Method Man, Ghostface Killah, Raekwon & U-God)"
