Artist,Song
"3LAU,Bright Lights",How You Love Me
"AFROJACK,Martin Garrix",Turn Up The Speakers
"Above & Beyond,Gareth Emery,OceanLab",On A Good Day (Metropolis)
"Above & Beyond,Gareth Emery,OceanLab,J Magik,Wickaman",On A Good Day (Metropolis) - J Majik & Wickaman Remix
"Above & Beyond,Grum",Is It Love? (1001) - Grum Extended Mix
"Above & Beyond,Grum",Is It Love? (1001) - Grum Remix
"Above & Beyond,Richard Bedford",Sun & Moon - Original Mix
"Alan Walker,Slushii",Faded - Slushii Remix
"AlunaGeorge,Tchami",You Know You Like It - Tchami Remix
"Anne-Marie,Marshmello",Alarm - Marshmello Remix
"Ariana Grande,Nicki Minaj,Slushii",Side To Side - Slushii Remix
"Ariana Grande,Zedd",Break Free
"Armin van Buuren,Sharon Den Adel",In And Out Of Love
"Audien,Deb’s Daughter,Niko The Kid",Crazy Love - Niko The Kid Remix
Avicii,Addicted To You
Avicii,Hey Brother
Avicii,Levels - Original Version
Avicii,Silhouettes - Original Radio Edit
Avicii,Sunset Jesus
Avicii,Sweet Dreams - Avicii Swede Dreams Mix
Avicii,Wake Me Up
Avicii,You Make Me
"Avicii,Aloe Blacc",SOS
"Avicii,CAZZETTE,Sebastian Furrer,Alexander Björklund",Levels - Cazzette's NYC Mode Mix
"Avicii,Lenny Kravitz",Superlove (Avicii vs. Lenny Kravitz) - Radio Edit
"Avicii,Rita Ora",Lonely Together (feat. Rita Ora)
"Avicii,Sandro Cavazza",Without You (feat. Sandro Cavazza)
"Avicii,Sebastien Drums",My Feelings for You
Axwell /\ Ingrosso,Dreamer
"Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",Sun Is Shining
"Axwell /\ Ingrosso,RØMANS",Dancing Alone
"Benny Benassi,Channing,Adam K & Soha",Come Fly Away - Soha & Adam K Remix
"Benny Benassi,The Biz",Satisfaction - Isak Original Extended
Bingo Players,Cry (Just A Little) - Original
"Blue Foundation,Zeds Dead",Eyes on Fire - Zeds Dead Remix
"Bob Sinclar,Avicii",New New New - Avicii Meets Yellow Remix
Brooks,If Only I Could - Radio Edit
Calvin Harris,Acceptable in the 80's
Calvin Harris,I'm Not Alone - Radio Edit
"Calvin Harris,Ayah Marar",Thinking About You (feat. Ayah Marar)
"Calvin Harris,Disciples",How Deep Is Your Love
"Calvin Harris,Dua Lipa",One Kiss (with Dua Lipa)
"Calvin Harris,Ellie Goulding",Outside (feat. Ellie Goulding)
"Charlie Puth,Slushii",The Way I Am - Slushii Remix
"Cheat Codes,Demi Lovato",No Promises (feat. Demi Lovato)
"Colleen D'agostino,deadmau5",Stay (feat. deadmau5) - Drop The Poptart Edit
Cosmic Gate,Exploration of Space
Cosmic Gate,Fire Wire - Club Mix
"DJ Snake,AlunaGeorge",You Know You Like It
Dada Life,Born To Rage - USA Version
"Dannic,We AM",Move
"Dash Berlin,Cerf,Mitiska,Jaren",Man On The Run
David Guetta,Love Don't Let Me Go
"David Guetta,AFROJACK,Charli XCX,French Montana",Dirty Sexy Money (feat. Charli XCX & French Montana)
"David Guetta,Bebe Rexha",I'm Good (Blue)
"David Guetta,Benny Benassi,Hardwell,Maddix",Satisfaction - Hardwell & Maddix Remix
"David Guetta,Dirty South,Sebastian Ingrosso,Julie McKnight",How Soon Is Now - Dirty South
"David Guetta,Kelly Rowland",When Love Takes Over (feat. Kelly Rowland)
"David Guetta,Kid Cudi",Memories (feat. Kid Cudi)
"David Guetta,MORTEN,RAYE",Make It to Heaven (with Raye)
"David Guetta,Martin Garrix,Brooks",Like I Do
"David Guetta,Tocadisco,Chris Willis",Sound Of Letting Go (feat. Chris Willis)
Deorro,Bootie in Your Face - No Rock Drop
Deorro,Dechorro - Original Mix
Deorro,Yee - Original Mix
"Dillon Francis,Martin Garrix",Set Me Free
Dimitri Vegas & Like Mike,Under The Water - Dada Life Rmx
"Dimitri Vegas & Like Mike,David Guetta,R3HAB,Kiiara",Complicated (feat. Kiiara) - R3hab Remix
"Dimitri Vegas & Like Mike,Martin Garrix",Tremor - Original Mix
"Dinka,EDX",Elements - EDX Radio Mix
Disclosure,Afterthought
Disclosure,Echoes
Disclosure,F For You
Disclosure,Grab Her!
Disclosure,Jaded
Disclosure,Molecules
Disclosure,Second Chance
Disclosure,Stimulation
Disclosure,Tenderly
Disclosure,What's In Your Head
Disclosure,When A Fire Starts To Burn
"Disclosure,AlunaGeorge",White Noise
"Disclosure,Brendan Reilly",Moving Mountains
"Disclosure,Edward MacFarlane",Defeated No More
"Disclosure,Eliza Doolittle",You & Me
"Disclosure,Eliza Doolittle,Flume",You & Me - Flume Remix
"Disclosure,Fatoumata Diawara",Douha (Mali Mali)
"Disclosure,Gregory Porter",Holding On
"Disclosure,Jamie Woon",January
"Disclosure,Jessie Ware",Confess To Me
"Disclosure,Jordan Rakei",Masterpiece
"Disclosure,Kwabs",Willing & Able
"Disclosure,LION BABE",Hourglass
"Disclosure,London Grammar",Help Me Lose My Mind
"Disclosure,Lorde",Magnets
"Disclosure,Miguel",Good Intentions
"Disclosure,Nao",Superego
"Disclosure,Sam Smith",Latch
"Disclosure,Sam Smith",Omen
"Disclosure,Sam Smith",Omen - Radio Edit
"Disclosure,Sasha Keable",Voices
"Disclosure,Sinéad Harnett",Boiling
"Disclosure,The Weeknd",Nocturnal
Don Diablo,Cutting Shapes
Don Diablo,On My Mind - Radio Edit
Don Diablo,Save a Little Love
"Don Diablo,A R I Z O N A",Take Her Place (feat. A R I Z O N A)
Duke Dumont,Ocean Drive
"Duke Dumont,A*M*E",Need U (100%) (feat. A*M*E) - Radio Edit
"Duke Dumont,Gorgon City,NAATIONS",Real Life
"Duke Dumont,Shaun Ross","Red Light Green Light - For Club Play Only, Pt. 6"
"Ellie Goulding,Bassnectar",Lights - Bassnectar Remix
Eric Prydz,Call On Me - Edit
Eric Prydz,Melo
Eric Prydz,Pjanoo - Radio Edit
"Eurythmics,Annie Lennox,Dave Stewart,Steve Angello",Sweet Dreams (Are Made Of This) - Steve Angello Remix Edit
"Faithless,Rollo Armstrong,Sister Bliss,Avicii,Goetz",Insomnia 2.0 (Avicii Remix) [Radio Edit]
"Faithless,Rollo Armstrong,Sister Bliss,Axwell,Goetz",Insomnia 2.0 - Avicii Extended Remix
Fedde Le Grand,Put Your Hands Up For Detroit
Ferry Corsten,Fire
"Ferry Corsten,Maria Nayler",We Belong
Flume,Holdin On
"Flume,Jezzabell Doran",Sleepless
"Flume,KUČKA",Numb & Getting Colder
"Flume,Toro y Moi",The Difference
"Flume,Tove Lo",Say It
"Flume,VIC MENSA",Lose It
"Flume,Vera Blue",Rushing Back
"Flume,Vince Staples,KUČKA",Smoke & Retribution
"Flume,kai",Never Be Like You
Flux Pavilion,I Can't Stop
"Fox Stevenson,Curbi",Hoohah - Radio Edit
"Fox Stevenson,Curbi",Hoohah - VIP Edit
"Foxes,Adventure Club",Youth - Adventure Club Remix
"French Montana,Swae Lee,Tiësto,Dzeko",Unforgettable (feat. Swae Lee) - Tiësto vs. Dzeko AFTR:HRS Remix
Galantis,No Money
Galantis,Peanut Butter Jelly
"Giiants,MAYLYN,Martin Jensen",Yellow - Martin Jensen Edit
"Gryffin,Elley Duhé",Tie Me Down (with Elley Duhé)
"Hailee Steinfeld,Grey,Zedd",Starving
Hardwell,Encoded - Dada Life Remix
Hardwell,Encoded - Original Mix
"Hardwell,Armin van Buuren",Off the Hook
"Hardwell,Showtek",How We Do - Original Mix
"Hybrid,deadmau5",Finished Symphony - Deadmau5 Remix
"IZECOLD,Molly Ann,Brooks",Close
"Imanbek,Martin Jensen",I'm Just Feelin' (Du Du Du)
"Jack Ü,Skrillex,Diplo,Justin Bieber",Where Are Ü Now (with Justin Bieber)
"Jessie Ware,Disclosure",Running - Disclosure Remix
"Juice WRLD,Marshmello",Come & Go (with Marshmello)
"Julian Jordan,Martin Garrix",BFAM
"KSHMR,Maddix",Close To You
"KSHMR,Mike Waters",My Best Life (feat. Mike Waters)
Kaskade,4 AM - Adam K & Soha Radio Edit
Kaskade,Move For me
Krewella,Alive
"Krewella,Vicetone",Enjoy the Ride - Vicetone Remix
"Kungs,Cookin' On 3 Burners",This Girl - Kungs Vs. Cookin' On 3 Burners
"Kx5,deadmau5,Kaskade,Hayla",Escape (feat. Hayla)
"Kygo,Maty Noyes",Stay (feat. Maty Noyes)
"Kygo,Selena Gomez",It Ain't Me (with Selena Gomez)
"Lady Bee,Rochelle,Oliver Heldens",Return Of The Mack (feat. Rochelle) - Oliver Heldens Remix
"Linkin Park,Kiiara,Nicky Romero",Heavy (feat. Kiiara) - Nicky Romero Remix
"Louis The Child,Caroline Ailin",Last To Leave (feat. Caroline Ailin)
"MEDUZA,Alok,Goodboys",Piece Of Your Heart - Alok Remix
"MOTi,Nabiha",Turn Me Up - ViP Mix
"Madeon,Nicholas Petricca",Finale (feat. Nicholas Petricca)
"Madeon,Nicholas Petricca,Boris Daenen",Finale (feat. Nicholas Petricca) - Netsky Remix
"Madonna,Avicii",Madonna vs. Avicii – Girl Gone Wild - AVICII's UMF Mix
"Major Lazer,Justin Bieber,MØ",Cold Water (feat. Justin Bieber & MØ)
"Major Lazer,MØ,DJ Snake",Lean On (feat. MØ & DJ Snake)
"Major Lazer,Nyla,Fuse ODG",Light It Up (feat. Nyla & Fuse ODG) - Remix
"Major Lazer,PARTYNEXTDOOR,Nicki Minaj",Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)
"Major Lazer,Travis Scott,Camila Cabello,Quavo","Know No Better (feat. Travis Scott, Camila Cabello & Quavo)"
"Mako,Morgan Page",Real Life
"Marshmello,Khalid,Slushii",Silence - Slushii Remix
Martin Garrix,Animals - Radio Edit
Martin Garrix,Forbidden Voices
Martin Garrix,Keygen - Original Mix
Martin Garrix,Oops
Martin Garrix,Poison
Martin Garrix,Proxy - Original Mix
"Martin Garrix,Bebe Rexha",In the Name of Love
"Martin Garrix,Bonn",Home (feat. Bonn)
"Martin Garrix,Dawn Golden",Sun Is Never Going Down (feat. Dawn Golden)
"Martin Garrix,Dua Lipa,Brooks",Scared To Be Lonely - Brooks Remix
"Martin Garrix,Firebeatz",Helicopter - Original Edit
"Martin Garrix,Florian Picasso",Make up Your Mind
"Martin Garrix,Jay Hardway",Error 404 - Original Mix
"Martin Garrix,Jay Hardway",Spotless
"Martin Garrix,Jay Hardway",Wizard - Radio Edit
"Martin Garrix,Jay Hardway",Wizard - Tchami Edit
"Martin Garrix,John & Michel",Now That I've Found You (feat. John & Michel)
"Martin Garrix,Julian Jordan",Welcome
"Martin Garrix,Justin Mylo,Mesto",Bouncybob (feat. Justin Mylo & Mesto)
"Martin Garrix,MOTi",Virus (How About Now)
"Martin Garrix,MOTi",Virus (How About Now) - Original Mix
"Martin Garrix,Macklemore,Fall Out Boy",Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)
"Martin Garrix,Matisse & Sadko",Break Through The Silence - Original Mix
"Martin Garrix,Matisse & Sadko",Break Through The Silence - Radio Edit
"Martin Garrix,Matisse & Sadko",Dragon - Original Mix
