Artist,Song
"3LAU,Bright Lights",How You Love Me
"AFROJACK,Martin Garrix",Turn Up The Speakers
"Alan Walker,Slushii",Faded - Slushii Remix
"Alok,Harrison",Tell Me Why
"Alok,Sevenn",BYOB
"AlunaGeorge,Tchami",You Know You Like It - Tchami Remix
"Audien,Deb’s Daughter,Niko The Kid",Crazy Love - Niko The Kid Remix
"Avicii,CAZZETTE,Sebastian Furrer,Alexander Björklund",Levels - Cazzette's NYC Mode Mix
"Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",Sun Is Shining
"BARELY ALIVE,Fox Stevenson",Here We Go
"Benny Benassi,Channing,Adam K & Soha",Come Fly Away - Soha & Adam K Remix
"Benny Benassi,The Biz",Satisfaction - Isak Original Extended
Bingo Players,Cry (Just A Little) - Original
"Blue Foundation,Zeds Dead",Eyes on Fire - Zeds Dead Remix
"Bob Sinclar,Kryder",Someone Who Needs Me - Kryder Remix Edit
Brooks,If Only I Could - Radio Edit
Calvin Harris,Acceptable in the 80's
Calvin Harris,I'm Not Alone - Radio Edit
"Calvin Harris,Ayah Marar",Thinking About You (feat. Ayah Marar)
"Calvin Harris,Disciples",How Deep Is Your Love
"Calvin Harris,Dua Lipa",One Kiss (with Dua Lipa)
"Calvin Harris,Ellie Goulding",Outside (feat. Ellie Goulding)
"Colleen D'agostino,deadmau5",Stay (feat. deadmau5) - Drop The Poptart Edit
"DJ Fresh,Fox Stevenson",Gold Dust - Fox Stevenson Remix
Dada Life,Born To Rage - USA Version
DallasK,All My Life
"Dannic,We AM",Move
"David Guetta,AFROJACK,Charli XCX,French Montana",Dirty Sexy Money (feat. Charli XCX & French Montana)
"David Guetta,Benny Benassi,Hardwell,Maddix",Satisfaction - Hardwell & Maddix Remix
"David Guetta,Dirty South,Sebastian Ingrosso,Julie McKnight",How Soon Is Now - Dirty South
"David Guetta,Martin Garrix,Brooks",Like I Do
"Delta Heavy,Dirty Audio,Holly,Maduk",Stay - Maduk Remix
"Demicat,Fox Stevenson",Better Now - Demicat Remix
Deorro,Bootie in Your Face - No Rock Drop
Deorro,Dechorro - Original Mix
Deorro,Yee - Original Mix
"Dillon Francis,Martin Garrix",Set Me Free
Dimitri Vegas & Like Mike,Under The Water - Dada Life Rmx
"Dimitri Vegas & Like Mike,David Guetta,R3HAB,Kiiara",Complicated (feat. Kiiara) - R3hab Remix
"Dimitri Vegas & Like Mike,Martin Garrix",Tremor - Original Mix
"Dinka,EDX",Elements - EDX Radio Mix
Don Diablo,Cutting Shapes
Don Diablo,On My Mind - Radio Edit
Don Diablo,Save a Little Love
"Don Diablo,A R I Z O N A",Take Her Place (feat. A R I Z O N A)
Eric Prydz,Call On Me - Edit
Eric Prydz,Melo
Eric Prydz,Pjanoo - Radio Edit
"Eurythmics,Annie Lennox,Dave Stewart,Steve Angello",Sweet Dreams (Are Made Of This) - Steve Angello Remix Edit
"Faithless,Rollo Armstrong,Sister Bliss,Axwell,Goetz",Insomnia 2.0 - Avicii Extended Remix
Fedde Le Grand,Put Your Hands Up For Detroit
Felguk,Buzz Me - Rework 2011 Master
Felguk,Side By Side
Flux Pavilion,I Can't Stop
Fox Stevenson,All Eyes On Me
Fox Stevenson,All In
Fox Stevenson,All This Time
Fox Stevenson,Arigatou
Fox Stevenson,Bring A Coat
Fox Stevenson,Bruises
Fox Stevenson,Bulgogi
Fox Stevenson,Can't Even Tell
Fox Stevenson,Comeback
Fox Stevenson,Deja Vu
Fox Stevenson,Don't Care Crown
Fox Stevenson,Double Up
Fox Stevenson,Dreamland
Fox Stevenson,Endless
Fox Stevenson,Enemy Brain
Fox Stevenson,Ether
Fox Stevenson,Flash
Fox Stevenson,For The Taking
Fox Stevenson,Funky Uncle
Fox Stevenson,Get Through
Fox Stevenson,Go Like
Fox Stevenson,Go Like - D&B Remix
Fox Stevenson,Good Time
Fox Stevenson,Hello?
Fox Stevenson,High Five!
Fox Stevenson,Human In The Evening
Fox Stevenson,Knowhow
Fox Stevenson,Love The Day
Fox Stevenson,Manage
Fox Stevenson,Melange
Fox Stevenson,Miss You
Fox Stevenson,Miss You - D&B Mix
Fox Stevenson,New Amsterdam
Fox Stevenson,Out On My Own
Fox Stevenson,Out There - Original Mix
Fox Stevenson,Radar
Fox Stevenson,Rocket
Fox Stevenson,Saloon
Fox Stevenson,Saloon VIP
Fox Stevenson,Sandblast
Fox Stevenson,Simple Life - Original Mix
Fox Stevenson,Something
Fox Stevenson,Still Here
Fox Stevenson,Sweets (Soda Pop) - Original Mix
Fox Stevenson,Take You Down
Fox Stevenson,Take You Down - Instrumental
Fox Stevenson,The Heat
Fox Stevenson,Throwdown
Fox Stevenson,Tico
Fox Stevenson,Victory Over Truth
"Fox Stevenson,Curbi",Hoohah - Radio Edit
"Fox Stevenson,Curbi",Hoohah - VIP Edit
"Fox Stevenson,GiiANA",Simple Life - GiiANA Remix
"Fox Stevenson,IMLAY",Lightspeed - IMLAY Remix
"Fox Stevenson,Mesto",Chatterbox
"Fox Stevenson,Protohype",All In - Protohype Remix
"Fox Stevenson,Rob Gasser",Throwdown - Rob Gasser Remix
"Fox Stevenson,Solomon France",Miss You - Solomon France Remix
"Foxes,Adventure Club",Youth - Adventure Club Remix
"French Montana,Swae Lee,Tiësto,Dzeko",Unforgettable (feat. Swae Lee) - Tiësto vs. Dzeko AFTR:HRS Remix
"Habstrakt,Nitepunk",Point
Hardwell,Encoded - Dada Life Remix
Hardwell,Encoded - Original Mix
"Hardwell,Armin van Buuren",Off the Hook
"Hardwell,Showtek",How We Do - Original Mix
Holl & Rush,Feel Free
"Hybrid,deadmau5",Finished Symphony - Deadmau5 Remix
"IZECOLD,Molly Ann,Brooks",Close
"Imanbek,Martin Jensen",I'm Just Feelin' (Du Du Du)
"Jack Ü,Skrillex,Diplo,Justin Bieber",Where Are Ü Now (with Justin Bieber)
"Julian Jordan,Martin Garrix",BFAM
"Justice,MSTRKRFT",D.A.N.C.E. - MSTRKRFT Remix
"KSHMR,Maddix",Close To You
"KSHMR,Mike Waters",My Best Life (feat. Mike Waters)
Kaskade,4 AM - Adam K & Soha Radio Edit
Kaskade,Move For me
"Koven,Fox Stevenson",YES - Fox Stevenson Remix
Krewella,Alive
"Krewella,Vicetone",Enjoy the Ride - Vicetone Remix
"Kx5,deadmau5,Kaskade,Hayla",Escape (feat. Hayla)
"Lady Bee,Rochelle,Oliver Heldens",Return Of The Mack (feat. Rochelle) - Oliver Heldens Remix
"Linkin Park,Kiiara,Nicky Romero",Heavy (feat. Kiiara) - Nicky Romero Remix
"MEDUZA,Alok,Goodboys",Piece Of Your Heart - Alok Remix
"MOTi,Nabiha",Turn Me Up - ViP Mix
"Madeon,Nicholas Petricca",Finale (feat. Nicholas Petricca)
"Madeon,Nicholas Petricca,Boris Daenen",Finale (feat. Nicholas Petricca) - Netsky Remix
"Major Lazer,Justin Bieber,MØ",Cold Water (feat. Justin Bieber & MØ)
"Major Lazer,MØ,DJ Snake",Lean On (feat. MØ & DJ Snake)
"Major Lazer,Nyla,Fuse ODG",Light It Up (feat. Nyla & Fuse ODG) - Remix
"Major Lazer,PARTYNEXTDOOR,Nicki Minaj",Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)
"Major Lazer,Travis Scott,Camila Cabello,Quavo","Know No Better (feat. Travis Scott, Camila Cabello & Quavo)"
"Mako,Morgan Page",Real Life
"Martin Garrix,Dua Lipa,Brooks",Scared To Be Lonely - Brooks Remix
"Martin Garrix,Firebeatz",Helicopter - Original Edit
"Martin Garrix,Florian Picasso",Make up Your Mind
"Martin Garrix,Jay Hardway",Error 404 - Original Mix
"Martin Garrix,Jay Hardway",Spotless
"Martin Garrix,Jay Hardway",Wizard - Radio Edit
"Martin Garrix,Jay Hardway",Wizard - Tchami Edit
"Martin Garrix,Julian Jordan",Welcome
"Martin Garrix,Justin Mylo,Mesto",Bouncybob (feat. Justin Mylo & Mesto)
"Martin Garrix,MOTi",Virus (How About Now)
"Martin Garrix,MOTi",Virus (How About Now) - Original Mix
"Martin Garrix,Matisse & Sadko",Break Through The Silence - Original Mix
"Martin Garrix,Matisse & Sadko",Break Through The Silence - Radio Edit
"Martin Garrix,Matisse & Sadko",Dragon - Original Mix
"Martin Garrix,Matisse & Sadko",Together
"Martin Garrix,TV Noise",Just Some Loops - Radio Edit
"Martin Garrix,Third Party",Lions in the Wild
"Martin Garrix,Troye Sivan,Madison Mars",There For You - Madison Mars Remix
Martin Solveig,The Night Out - A-Trak vs Martin Rework
"Martin Solveig,Dragonette",Hello - Single Edit
"Martin Solveig,GTA",Intoxicated - Radio Edit
Mat Zo,Games
Mat Zo,Vice
Matisse & Sadko,Hi Scandinavia! - Original Mix
"Medina,deadmau5",You & I - deadmau5 Remix
Morgan Page,Fight For You
"Morgan Page,Lissie,deadmau5",The Longest Road - deadmau5 Remix Edit
NERO,Me & You - Original Mix
Nicky Romero,The Moment (Novell)
"Nicky Romero,Krewella",Legacy - Radio Edit
"Nicky Romero,Vicetone,When We Are Wild",Let Me Feel (feat. When We Are Wild) - Original Mix
Oliver Heldens,Koala
"Oliver Heldens,Anabel Englund",Deja Vu
"Oliver Heldens,Becky Hill",Gecko (Overdrive) - Radio Edit
"Oliver Heldens,Lenno",This Groove
"Ookay,Fox Stevenson",Lighthouse
Otto Knows,Parachute - Radio Edit
Pep & Rash,Rumors - Original Mix
Porter Robinson,Unison
"Priority One,Fox Stevenson,Two Thirds",City Needs Sleep - Fox Stevenson Remix
"Public Enemy,Benny Benassi",Bring The Noise Remix - Benny Benassi Pump - Kin Edit
"R3HAB,ZROQ",Skydrop (Original Mix)
"SAINt JHN,Imanbek",Roses - Imanbek Remix
"SHINee,Fox Stevenso,Fox Stevenson",Don't Call Me - Fox Stevenson Remix
Sander van Doorn,Koko
"Sander van Doorn,Martin Garrix,DVBBS,Aleesia",Gold Skies - Radio Edit
Showtek,FTS - Original Mix
Showtek,The Colour of the Harder Styles - Defqon Anthem 2006
"Showtek,Ookay",Bouncer - Original Mix
"Steve Angello,Laidback Luke,Robin S,Anevo",Show Me Love (feat. Robin S) - Anevo Remix [Radio Edit]
"Steve Aoki,Autoerotique",ILYSM
Tchami,Adieu
"Tchami,AC Slater,Kaleem Taylor",Missing You
"Tchami,Kaleem Taylor",Promesses - Extended Mix
"Tchami,Kaleem Taylor",Promesses - Radio Edit
"Tchami,Stacy Barthe",After Life
Tim Berg,Alcoholic - original mix
"Tiësto,Don Diablo,Thomas Troelsen",Chemicals
"Tiësto,Matthew Koma,Ummet Ozcan",Wasted - Ummet Ozcan Remix
Tony Romera,MS69
Tritonal,Call Me
Tritonal,U Found Me
"Tritonal,Angel Taylor",Getaway
"Tritonal,Cristina Soto",Everafter - Craig Connelly Remix
"Tritonal,Laurell",Good Thing - Tritonal Club Mix
"Tritonal,Laurell,Justin Caruso",Good Thing - Justin Caruso Remix
Vicetone,Anywhere I Go
Vicetone,California
Vicetone,Catch Me
Vicetone,Clarity (Remix)
Vicetone,Elevate
Vicetone,Ensemble - Original Mix
Vicetone,Harmony
Vicetone,Heat - Original Mix
