Artist,Song
AC/DC,Back In Black
AC/DC,Hells Bells
AC/DC,Highway to Hell
AC/DC,Shoot to Thrill
AC/DC,Stiff Upper Lip
AC/DC,T.N.T.
AC/DC,Thunderstruck
AC/DC,You Shook Me All Night Long
Aerosmith,Dream On
Aerosmith,Walk This Way
Alice Cooper,Poison
Alice In Chains,Down In A Hole (2022 Remaster)
Alice In Chains,Nutshell
Alice In Chains,Rooster (2022 Remaster)
Alice In Chains,Them Bones (2022 Remaster)
Alice In Chains,Would? (2022 Remaster)
Audioslave,#1 Zero
Audioslave,Be Yourself
Audioslave,Bring Em Back Alive
Audioslave,Broken City
Audioslave,Cochise
Audioslave,Dandelion
Audioslave,Doesn't Remind Me
Audioslave,Drown Me Slowly
Audioslave,Exploder
Audioslave,Gasoline
Audioslave,Getaway Car
Audioslave,Heaven's Dead
Audioslave,Hypnotize
Audioslave,I Am the Highway
Audioslave,Jewel Of The Summertime
Audioslave,Light My Way
Audioslave,Like a Stone
Audioslave,Man Or Animal
Audioslave,Moth
Audioslave,Nothing Left To Say But Goodbye
Audioslave,One And The Same
Audioslave,Original Fire
Audioslave,Out Of Exile
Audioslave,Out of Exile - Live at the Quart Festival
Audioslave,Revelations
Audioslave,Set It Off
Audioslave,Shadow on the Sun
Audioslave,Shape of Things to Come
Audioslave,Show Me How to Live
Audioslave,Somedays
Audioslave,Sound Of A Gun
Audioslave,The Curse
Audioslave,The Last Remaining Light
Audioslave,The Worm
Audioslave,Until We Fall
Audioslave,What You Are
Audioslave,Wide Awake
Audioslave,Yesterday To Tomorrow
Audioslave,Your Time Has Come
Billy Idol,Rebel Yell
Billy Idol,White Wedding - Pt.1
Billy Squier,The Stroke
Black Sabbath,Iron Man
Black Sabbath,War Pigs
Blue Öyster Cult,(Don't Fear) The Reaper
Boston,More Than a Feeling
Cream,Sunshine Of Your Love
Cream,White Room
Danzig,Mother
Def Leppard,Pour Some Sugar On Me - Remastered 2017
Dio,Don't Talk To Strangers
Dio,Holy Diver
Dio,Rainbow In The Dark
Dio,Stand Up And Shout
Dio,Straight Through The Heart
Dream Theater,As I Am
Europe,The Final Countdown
Foreigner,Cold as Ice
Foreigner,Hot Blooded
Foreigner,I Want to Know What Love Is - 1999 Remaster
Foreigner,Juke Box Hero
Foreigner,Waiting for a Girl like You
Genesis,I Can't Dance - Remastered 2007
Genesis,Land Of Confusion - Remastered 2007
Ghost,Call Me Little Sunshine
Ghost,Cirice
Ghost,Darkness At The Heart Of My Love
Ghost,Griftwood
Ghost,Kaisarion
Ghost,Miasma
Ghost,See The Light
