Artist,Song
"112,The Notorious B.I.G.,Ma$e","Only You (feat. The Notorious B.I.G., Ma$e) - Bad Boy Remix"
2Pac,All Eyez On Me
2Pac,How Do You Want It
"2Pac,Roger,Dr. Dre",California Love - Original Version
"2Pac,Talent",Changes
50 Cent,If I Can't
50 Cent,In Da Club
50 Cent,Just A Lil Bit
50 Cent,Many Men (Wish Death)
50 Cent,P.I.M.P.
"50 Cent,Justin Timberlake,Timbaland",Ayo Technology
"50 Cent,Nate Dogg",21 Questions
"50 Cent,Olivia",Candy Shop
A Tribe Called Quest,8 Million Stories
A Tribe Called Quest,Baby Phife's Return
A Tribe Called Quest,Bonita Applebum - includes 'Can I Kick It' Intro
A Tribe Called Quest,Buggin' Out
A Tribe Called Quest,Busta's Lament
A Tribe Called Quest,Can I Kick It?
A Tribe Called Quest,Check the Rhime
A Tribe Called Quest,Electric Relaxation
A Tribe Called Quest,Excursions
A Tribe Called Quest,Footprints
A Tribe Called Quest,Go Ahead In the Rain
A Tribe Called Quest,Jazz (We've Got)
A Tribe Called Quest,Keeping It Moving
A Tribe Called Quest,Like It Like That
A Tribe Called Quest,Luck of Lucien
A Tribe Called Quest,Mind Power
A Tribe Called Quest,Motivators
A Tribe Called Quest,Oh My God
A Tribe Called Quest,Steve Biko (Stir It Up)
A Tribe Called Quest,The Jam
A Tribe Called Quest,We Can Get Down
A Tribe Called Quest,What Really Goes On
A Tribe Called Quest,What?
A Tribe Called Quest,Youthful Expression
"A Tribe Called Quest,Busta Rhymes,Dinco D,Charlie Brown","Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) - LP Mix"
"A Tribe Called Quest,Faith Evans",Stressed Out (feat. Faith Evans)
"A Tribe Called Quest,Tammy Lucas",1nce Again (feat. Tammy Lucas) - Radio Version
"A Tribe Called Quest,Trugoy The Dove",Award Tour (feat. Trugoy The Dove)
"Akon,Eminem",Smack That
"Beyoncé,JAY-Z",Crazy In Love (feat. Jay-Z)
"Beyoncé,JAY-Z",Deja Vu (feat. Jay-Z)
"Beyoncé,JAY-Z",Upgrade U (feat. Jay-Z)
"Blackstreet,Dr. Dre,Queen Pen",No Diggity
Childish Gambino,3005 - Friction Remix
Childish Gambino,All The Shine
Childish Gambino,Backpackers
Childish Gambino,Bonfire
Childish Gambino,Fire Fly
Childish Gambino,Freaks And Geeks
Childish Gambino,Heartbeat
Childish Gambino,Hold You Down
Childish Gambino,I.Crawl
Childish Gambino,II. Shadows
Childish Gambino,III. Telegraph Ave. (Oakland by Lloyd)
Childish Gambino,Kids
Childish Gambino,LES
Childish Gambino,Letter Home
Childish Gambino,Not Going Back
Childish Gambino,Outside
Childish Gambino,Retro [ROUGH]
Childish Gambino,Sober
Childish Gambino,Sunrise
Childish Gambino,That Power
Childish Gambino,V. 3005
Childish Gambino,You See Me
"Childish Gambino,Jhené Aiko",I. Pink Toes
"Childish Gambino,Oliver",Heartbeat (OLIVER Remix) - Oliver Remix
"Childish Gambino,Treasure Fingers",Heartbeat (Treasure Fingers Remix)
"Chris Brown,Tyga",Ayo
"Christina Aguilera,Lil' Kim,Mýa,P!nk",Lady Marmalade
Craig Mack,Flava in Ya Ear
Craig Mack,Get Down - 2016 Remaster
"Craig Mack,Busta Rhymes,LL COOL J,Rampage,The Notorious B.I.G.","Flava in Ya Ear Remix (feat. The Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage)"
"DJ Khaled,Drake,Rick Ross,Lil Wayne",I'm On One
"DJ Khaled,Justin Bieber,Quavo,Chance the Rapper",No Brainer
DMX,X Gon' Give It To Ya
"David Guetta,AFROJACK,Charli XCX,French Montana",Dirty Sexy Money (feat. Charli XCX & French Montana)
"David Guetta,Kid Cudi",Memories (feat. Kid Cudi)
De La Soul,Ring Ring Ring
"Dr. Dre,Snoop Dogg",The Next Episode
Drake,0 To 100 / The Catch Up
Drake,God's Plan
Drake,Nice For What
"Drake,Rihanna",Too Good
"Drake,Wizkid,Kyla",One Dance
"Dua Lipa,DaBaby",Levitating (feat. DaBaby)
Eazy-E,Gimmie That Nutt
Eminem,Infinite
Eminem,Lose Yourself - Soundtrack Version
Eminem,Mockingbird
Eminem,My Name Is
Eminem,Sing For The Moment
Eminem,The Real Slim Shady
Eminem,Without Me
"Eminem,50 Cent,Ca$his,Lloyd Banks",You Don't Know
"Eminem,Dido",Stan
"Eminem,Ed Sheeran",River (feat. Ed Sheeran)
"Eminem,Nate Dogg",'Till I Collapse
"Eminem,Rihanna",The Monster
Eric B. & Rakim,Don't Sweat The Technique
"Estelle,Kanye West",American Boy (feat. Kanye West)
"Fifth Harmony,Ty Dolla $ign",Work from Home
"Fifth Harmony,Ty Dolla $ign",Work from Home (feat. Ty Dolla $ign)
"Flo Rida,T-Pain",Low (feat. T-Pain)
"Flume,Vince Staples,KUČKA",Smoke & Retribution
"French Montana,Swae Lee,Tiësto,Dzeko",Unforgettable (feat. Swae Lee) - Tiësto vs. Dzeko AFTR:HRS Remix
Fugees,Killing Me Softly With His Song
"Fugees,Ms. Lauryn Hill,Wyclef Jean,Pras",Fu-Gee-La
"Fugees,Ms. Lauryn Hill,Wyclef Jean,Pras",Ready or Not
G-Unit,Poppin' Them Thangs
Gang Starr,B.Y.S.
Gang Starr,Blowin' Up The Spot
Gang Starr,Code Of The Streets
Gang Starr,Conspiracy
Gang Starr,Deadly Habitz
Gang Starr,Full Clip
Gang Starr,Gotta Get Over (Taking Loot)
Gang Starr,Mass Appeal
