Artist,Song
"AlunaGeorge,Tchami",You Know You Like It - Tchami Remix
Calvin Harris,Acceptable in the 80's
Calvin Harris,I'm Not Alone - Radio Edit
"Calvin Harris,Ayah Marar",Thinking About You (feat. Ayah Marar)
"Calvin Harris,Disciples",How Deep Is Your Love
"Calvin Harris,Dua Lipa",One Kiss (with Dua Lipa)
"Calvin Harris,Ellie Goulding",Outside (feat. Ellie Goulding)
"CamelPhat,LOWES",Easier (feat. LOWES)
"CamelPhat,LOWES,Sub Focus",Easier (feat. LOWES) - Sub Focus Remix
"Dinka,EDX",Elements - EDX Radio Mix
Disclosure,Afterthought
Disclosure,Echoes
Disclosure,F For You
Disclosure,Grab Her!
Disclosure,Jaded
Disclosure,Molecules
Disclosure,Second Chance
Disclosure,Stimulation
Disclosure,Tenderly
Disclosure,What's In Your Head
Disclosure,When A Fire Starts To Burn
"Disclosure,AlunaGeorge",White Noise
"Disclosure,Brendan Reilly",Moving Mountains
"Disclosure,Edward MacFarlane",Defeated No More
"Disclosure,Eliza Doolittle",You & Me
"Disclosure,Eliza Doolittle,Flume",You & Me - Flume Remix
"Disclosure,Fatoumata Diawara",Douha (Mali Mali)
"Disclosure,Gregory Porter",Holding On
"Disclosure,Jamie Woon",January
"Disclosure,Jessie Ware",Confess To Me
"Disclosure,Jordan Rakei",Masterpiece
"Disclosure,Kwabs",Willing & Able
"Disclosure,LION BABE",Hourglass
"Disclosure,London Grammar",Help Me Lose My Mind
"Disclosure,Lorde",Magnets
"Disclosure,Miguel",Good Intentions
"Disclosure,Nao",Superego
"Disclosure,Sam Smith",Latch
"Disclosure,Sam Smith",Omen
"Disclosure,Sam Smith",Omen - Radio Edit
"Disclosure,Sasha Keable",Voices
"Disclosure,Sinéad Harnett",Boiling
"Disclosure,The Weeknd",Nocturnal
"Dizzee Rascal,Armand Van Helden",Bonkers
Duke Dumont,Ocean Drive
"Duke Dumont,A*M*E",Need U (100%) (feat. A*M*E) - Radio Edit
"Duke Dumont,Gorgon City,NAATIONS",Real Life
"Duke Dumont,Shaun Ross","Red Light Green Light - For Club Play Only, Pt. 6"
Eric Prydz,Call On Me - Edit
Eric Prydz,Melo
Eric Prydz,Pjanoo - Radio Edit
"Erick Morillo,Eddie Thoneick,Angel Taylor",Lost In You
"Erick Morillo,Eddie Thoneick,Angel Taylor",Lost In You - Extended Mix
"Eurythmics,Annie Lennox,Dave Stewart,Steve Angello",Sweet Dreams (Are Made Of This) - Steve Angello Remix Edit
Fedde Le Grand,Put Your Hands Up For Detroit
"Ferreck Dawn,Anthony Valadez",By My Side (feat. Anthony Valadez)
"French Montana,Swae Lee,Tiësto,Dzeko",Unforgettable (feat. Swae Lee) - Tiësto vs. Dzeko AFTR:HRS Remix
"Jessie Ware,Disclosure",Running - Disclosure Remix
"Joe Stone,Daser",Freak (And You Know It)
"Joe Stone,Montell Jordan",The Party (This Is How We Do It)
"John Summit,Hayla",Where You Are
Just Kiddin,Won't Let You Down
Karen Harding,Say Something
"Lady Bee,Rochelle,Oliver Heldens",Return Of The Mack (feat. Rochelle) - Oliver Heldens Remix
Le Youth,C O O L - Radio Edit
MK,17
"MK,Becky Hill",Piece of Me
"Martin Garrix,Tiësto",The Only Way Is Up
Martin Solveig,The Night Out - A-Trak vs Martin Rework
"Martin Solveig,Dragonette",Hello - Single Edit
"Martin Solveig,GTA",Intoxicated - Radio Edit
Oliver Heldens,Koala
"Oliver Heldens,Anabel Englund",Deja Vu
"Oliver Heldens,Becky Hill",Gecko (Overdrive) - Radio Edit
"Oliver Heldens,Lenno",This Groove
Pep & Rash,Rumors - Original Mix
Philip George,Wish You Were Mine - Radio Edit
"Philip George,Anton Powers",Alone No More
"Philip George,Dragonette",Feel This Way
Redlight,Get Out My Head
Redondo,From The Soul
Redondo,Instant Moments
"Riton,Nightcrawlers,Mufasa & Hypeman,Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit
"Route 94,Jess Glynne",My Love
"Route 94,Jess Glynne,Sigma",My Love - Sigma Remix
Secondcity,I Wanna Feel - Radio Edit
"Secondcity,Ali Love,Fred V & Grafix",What Can I Do (feat. Ali Love) - Fred V & Grafix Remix
"Sia,Sean Paul,Le Youth",Cheap Thrills (feat. Sean Paul) - Le Youth Remix
"Steve Angello,Laidback Luke,Robin S,Anevo",Show Me Love (feat. Robin S) - Anevo Remix [Radio Edit]
Tchami,Adieu
"Tchami,AC Slater,Kaleem Taylor",Missing You
"Tchami,Kaleem Taylor",Promesses - Extended Mix
"Tchami,Kaleem Taylor",Promesses - Radio Edit
"Tchami,Stacy Barthe",After Life
Tiësto,Adagio For Strings
"Tiësto,Don Diablo,Thomas Troelsen",Chemicals
"Tiësto,Matthew Koma,Ummet Ozcan",Wasted - Ummet Ozcan Remix
"Tiësto,Sneaky Sound System",I Will Be Here - Wolfgang Gartner Remix
"WEISS,Purple Disco Machine",Feel My Needs - Purple Disco Machine Remix
"Wilkinson,Karen Harding",All For You
Wolfgang Gartner,Ching Ching
Wolfgang Gartner,Wolfgang's 5th Symphony
"Zara Larsson,MNEK",Never Forget You
"deadmau5,Eric Prydz,Chris James",The Veldt (deadmau5 Vs. Eric Prydz Edit)
"deadmau5,Wolfgang Gartner",Animal Rights
