Artist,Song
Blacktop Mojo,8000 Lines
Blacktop Mojo,Back Home
Blacktop Mojo,Burn the Ships
Blacktop Mojo,Chains
Blacktop Mojo,Dog on a Leash
Blacktop Mojo,Dream On
Blacktop Mojo,End of Days
Blacktop Mojo,I Am
Blacktop Mojo,I Will Ramble On
Blacktop Mojo,Johnny Red
Blacktop Mojo,Make a Difference
Blacktop Mojo,Next Bullet
Blacktop Mojo,Open Road
Blacktop Mojo,Prodigal
Blacktop Mojo,Pyromaniac
Blacktop Mojo,Shadows on the Wall
Blacktop Mojo,Sweat
Blacktop Mojo,The River
Blacktop Mojo,Thrive
Blacktop Mojo,Trouble On the Rise
Blacktop Mojo,Underneath
Blacktop Mojo,Where the Wind Blows
Blacktop Mojo,Why
Dorothy,After Midnight
Dorothy,Dark Nights
Dorothy,Gun In My Hand
Dorothy,Kiss It
Dorothy,Medicine Man
Dorothy,Missile
Dorothy,Raise Hell
Dorothy,Shelter
Dorothy,Whiskey Fever
Dorothy,Wicked Ones
Dorothy,Woman
Mammoth WVH,Distance
Reignwolf,Are You Satisfied?
Reignwolf,Black and Red
Royal Blood,Better Strangers
Royal Blood,Blood Hands
Royal Blood,Careless
Royal Blood,Come on Over
Royal Blood,Don't Tell
Royal Blood,Figure It Out
Royal Blood,Hole in Your Heart
Royal Blood,Honeybrains
Royal Blood,"Hook, Line & Sinker"
Royal Blood,How Did We Get So Dark?
Royal Blood,I Only Lie When I Love You
Royal Blood,Lights Out
Royal Blood,Little Monster
Royal Blood,Look Like You Know
Royal Blood,Loose Change
Royal Blood,Mountains At Midnight
Royal Blood,Out of the Black
Royal Blood,Pull Me Through
Royal Blood,She's Creeping
Royal Blood,Sleep
Royal Blood,Ten Tonne Skeleton
Royal Blood,Trouble’s Coming
Royal Blood,Typhoons
Royal Blood,Where Are You Now?
Royal Blood,You Can Be So Cruel
Tremonti,A Dying Machine
Tremonti,A Lot Like Sin
Tremonti,All I Was
Tremonti,Another Heart
Tremonti,Arm Yourself
Tremonti,As the Silence Becomes Me
Tremonti,Betray Me
Tremonti,Brains
Tremonti,Bringer of War
Tremonti,Catching Fire
Tremonti,Cauterize
Tremonti,Dark Trip
Tremonti,Decay
Tremonti,Desolation
Tremonti,Desolation - Acoustic - Bonus Track
Tremonti,Doesn't Matter
Tremonti,Dust
Tremonti,Fall Again
Tremonti,Flying Monkeys
Tremonti,Found
Tremonti,From the Sky
Tremonti,Giving Up
Tremonti,Gone
Tremonti,Leave It Alone
Tremonti,Make It Hurt
Tremonti,My Last Mistake
Tremonti,Never Wrong
Tremonti,New Way Out
Tremonti,Now or Never - Bonus Track
Tremonti,Once Dead
Tremonti,Proof
Tremonti,Providence
Tremonti,Radical Change
Tremonti,Rising Storm
Tremonti,So You're Afraid
Tremonti,Sympathy
Tremonti,Take You with Me
Tremonti,The Cage
Tremonti,The Day When Legions Burned
Tremonti,The First the Last
Tremonti,The Things I've Seen
Tremonti,Throw Them to the Lions
Tremonti,Tie the Noose
Tremonti,Tore My Heart Out
Tremonti,Traipse
Tremonti,Trust
Tremonti,Unable to See
Tremonti,Wish You Well
Tremonti,You Waste Your Time
