Artist,Song
Arctic Monkeys,Arabella
Arctic Monkeys,Do I Wanna Know?
Arctic Monkeys,Fireside
Arctic Monkeys,I Wanna Be Yours
Arctic Monkeys,I Want It All
Arctic Monkeys,Knee Socks
Arctic Monkeys,Mad Sounds
Arctic Monkeys,No. 1 Party Anthem
Arctic Monkeys,One For The Road
Arctic Monkeys,R U Mine?
Arctic Monkeys,Snap Out Of It
Arctic Monkeys,Why'd You Only Call Me When You're High?
"Big Data,Joywave",Dangerous
Bleachers,I Wanna Get Better
Bon Iver,Holocene
Bring Me The Horizon,And the Snakes Start to Sing
Bring Me The Horizon,Antivist
Bring Me The Horizon,Avalanche
Bring Me The Horizon,Blasphemy
Bring Me The Horizon,Can You Feel My Heart
Bring Me The Horizon,Candy Truck / You Expected: LAB Your Result: Green
Bring Me The Horizon,DiE4u
Bring Me The Horizon,Doomed
Bring Me The Horizon,Drown
Bring Me The Horizon,Empire (Let Them Sing)
Bring Me The Horizon,Follow You
Bring Me The Horizon,"Go to Hell, for Heaven's Sake"
Bring Me The Horizon,Happy Song
Bring Me The Horizon,LosT
Bring Me The Horizon,MANTRA
Bring Me The Horizon,Oh No
Bring Me The Horizon,Parasite Eve
Bring Me The Horizon,Run
Bring Me The Horizon,Shadow Moses
Bring Me The Horizon,Sleepwalking
Bring Me The Horizon,Teardrops
Bring Me The Horizon,The House of Wolves
Bring Me The Horizon,Throne
Bring Me The Horizon,True Friends
Bring Me The Horizon,What You Need
Bring Me The Horizon,medicine
Bring Me The Horizon,mother tongue
Bring Me The Horizon,ouch
Bring Me The Horizon,sTraNgeRs
Bring Me The Horizon,sugar honey ice & tea
Bring Me The Horizon,why you gotta kick me when i'm down?
"Bring Me The Horizon,Dani Filth",wonderful life (feat. Dani Filth)
"Bring Me The Horizon,Grimes",nihilist blues (feat. Grimes)
"Bring Me The Horizon,Nova Twins",1x1 (feat. Nova Twins)
"Bring Me The Horizon,Rahzel",heavy metal (feat. Rahzel)
"Bring Me The Horizon,YUNGBLUD",Obey (with YUNGBLUD)
Cage The Elephant,Ain't No Rest For The Wicked - Original Version
"Ed Sheeran,Bring Me The Horizon",Bad Habits (feat. Bring Me The Horizon)
Fall Out Boy,"Dance, Dance"
Fall Out Boy,Grand Theft Autumn / Where Is Your Boy
Fall Out Boy,I Don't Care
Fall Out Boy,"Sugar, We're Goin Down"
Fall Out Boy,Thnks fr th Mmrs
Fitz and The Tantrums,Out of My League
Foals,My Number
Foo Fighters,All My Life
Foo Fighters,Everlong
Foo Fighters,Learn to Fly
Foo Fighters,My Hero
Foo Fighters,The Pretender
Foster The People,Don't Stop (Color on the Walls)
Foster The People,Houdini
Foster The People,Pumped Up Kicks
Glass Animals,Heat Waves
Good Charlotte,Lifestyles of the Rich & Famous
Gorillaz,Clint Eastwood
Gorillaz,DARE
Gorillaz,Feel Good Inc.
Green Day,American Idiot
Green Day,Basket Case
Green Day,Holiday / Boulevard of Broken Dreams
Green Day,Minority
Hozier,Angel Of Small Death & The Codeine Scene
Hozier,Arsonist's Lullabye
Hozier,Cherry Wine - Live
Hozier,Foreigner's God
Hozier,From Eden
Hozier,It Will Come Back
Hozier,Jackie And Wilson
Hozier,Like Real People Do
Hozier,Sedated
Hozier,Someone New
Hozier,Take Me To Church
Hozier,To Be Alone
Hozier,Work Song
"Hozier,Karen Cowley",In A Week
Imagine Dragons,Radioactive
Jimmy Eat World,Bleed American
Jimmy Eat World,Sweetness
Kaiser Chiefs,Ruby
"Kid Cudi,MGMT,Ratatat",Pursuit Of Happiness (Nightmare)
MGMT,Electric Feel
MGMT,Kids
MGMT,Time to Pretend
"Martin Garrix,Macklemore,Fall Out Boy",Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)
Muse,Psycho
Panic! At The Disco,"Build God, Then We'll Talk"
Panic! At The Disco,Death of a Bachelor
Panic! At The Disco,High Hopes
Panic! At The Disco,I Write Sins Not Tragedies
Paramore,Ain't It Fun
Paramore,All I Wanted
Paramore,Brick by Boring Brick
Paramore,Decode - Twilight Soundtrack Version
Paramore,Hard Times
Paramore,Ignorance
Paramore,Misery Business
Paramore,Monster - Transformers Soundtrack Version
Paramore,Still into You
Paramore,That's What You Get
Paramore,The Only Exception
Paramore,crushcrushcrush
Passion Pit,Sleepyhead
Rise Against,Give It All
Rise Against,Help Is On The Way
Rise Against,Prayer Of The Refugee
Rise Against,Re-Education (Through Labor)
Rise Against,Savior
Rise Against,Under The Knife
Royal Blood,Better Strangers
Royal Blood,Blood Hands
Royal Blood,Careless
Royal Blood,Come on Over
Royal Blood,Don't Tell
Royal Blood,Figure It Out
Royal Blood,Hole in Your Heart
Royal Blood,Honeybrains
Royal Blood,"Hook, Line & Sinker"
Royal Blood,How Did We Get So Dark?
Royal Blood,I Only Lie When I Love You
Royal Blood,Lights Out
Royal Blood,Little Monster
Royal Blood,Look Like You Know
Royal Blood,Loose Change
