Artist,Song
Arctic Monkeys,Arabella
Arctic Monkeys,Do I Wanna Know?
Arctic Monkeys,Fireside
Arctic Monkeys,I Wanna Be Yours
Arctic Monkeys,I Want It All
Arctic Monkeys,Knee Socks
Arctic Monkeys,Mad Sounds
Arctic Monkeys,No. 1 Party Anthem
Arctic Monkeys,One For The Road
Arctic Monkeys,R U Mine?
Arctic Monkeys,Snap Out Of It
Arctic Monkeys,Why'd You Only Call Me When You're High?
Audioslave,#1 Zero
Audioslave,Be Yourself
Audioslave,Bring Em Back Alive
Audioslave,Broken City
Audioslave,Cochise
Audioslave,Dandelion
Audioslave,Doesn't Remind Me
Audioslave,Drown Me Slowly
Audioslave,Exploder
Audioslave,Gasoline
Audioslave,Getaway Car
Audioslave,Heaven's Dead
Audioslave,Hypnotize
Audioslave,I Am the Highway
Audioslave,Jewel Of The Summertime
Audioslave,Light My Way
Audioslave,Like a Stone
Audioslave,Man Or Animal
Audioslave,Moth
Audioslave,Nothing Left To Say But Goodbye
Audioslave,One And The Same
Audioslave,Original Fire
Audioslave,Out Of Exile
Audioslave,Out of Exile - Live at the Quart Festival
Audioslave,Revelations
Audioslave,Set It Off
Audioslave,Shadow on the Sun
Audioslave,Shape of Things to Come
Audioslave,Show Me How to Live
Audioslave,Somedays
Audioslave,Sound Of A Gun
Audioslave,The Curse
Audioslave,The Last Remaining Light
Audioslave,The Worm
Audioslave,Until We Fall
Audioslave,What You Are
Audioslave,Wide Awake
Audioslave,Yesterday To Tomorrow
Audioslave,Your Time Has Come
"Avicii,Lenny Kravitz",Superlove (Avicii vs. Lenny Kravitz) - Radio Edit
Beck,Colors
Blur,Song 2 - 2012 Remaster
Crowded House,Don't Dream It's Over
Cyndi Lauper,Girls Just Want to Have Fun
Cyndi Lauper,Time After Time
David Bowie,Let's Dance - 2018 Remaster
David Bowie,Space Oddity - 2015 Remaster
Depeche Mode,Enjoy the Silence
Depeche Mode,Just Can't Get Enough
Depeche Mode,Never Let Me Down Again
Depeche Mode,Personal Jesus - Single Version
Foo Fighters,All My Life
Foo Fighters,Everlong
Foo Fighters,Learn to Fly
Foo Fighters,My Hero
Foo Fighters,The Pretender
Green Day,American Idiot
Green Day,Basket Case
Green Day,Holiday / Boulevard of Broken Dreams
Green Day,Minority
Kate Bush,Running Up That Hill (A Deal With God)
Lenny Kravitz,Are You Gonna Go My Way
Muse,Psycho
Neil Young,Old Man - 2017 Remaster
Neil Young,Rockin' in the Free World
New Order,Blue Monday '88
Nirvana,All Apologies
Nirvana,Breed
Nirvana,Come As You Are
Nirvana,Drain You
Nirvana,Dumb
Nirvana,Frances Farmer Will Have Her Revenge On Seattle
Nirvana,Heart-Shaped Box
Nirvana,In Bloom
Nirvana,Lithium
Nirvana,Lounge Act
Nirvana,Milk It
Nirvana,On A Plain
Nirvana,Pennyroyal Tea
Nirvana,Polly
Nirvana,Radio Friendly Unit Shifter
Nirvana,Rape Me
Nirvana,Serve The Servants
Nirvana,Smells Like Teen Spirit
Nirvana,Something In The Way
Nirvana,Stay Away
Nirvana,Territorial Pissings
Nirvana,Tourette's
Nirvana,Very Ape
Paul Simon,You Can Call Me Al
Pearl Jam,Alive
Pearl Jam,Even Flow
Pet Shop Boys,West End Girls
Peter Gabriel,My Body Is A Cage
Peter Gabriel,Sledgehammer
"Queen,David Bowie",Under Pressure - Remastered 2011
Radiohead,Everything In Its Right Place
Radiohead,Karma Police
Red Hot Chili Peppers,By The Way
Red Hot Chili Peppers,By the Way
Red Hot Chili Peppers,Californication
Red Hot Chili Peppers,Can't Stop
Red Hot Chili Peppers,Dani California
Red Hot Chili Peppers,Otherside
Red Hot Chili Peppers,Scar Tissue
Red Hot Chili Peppers,Snow [Hey Oh]
Red Hot Chili Peppers,Under The Bridge
"Sarah McLachlan,Junkie XL",World On Fire - Junkie XL Mix- GM EDIT
Tears For Fears,Everybody Wants To Rule The World
Tears For Fears,Shout
The B-52's,Love Shack - Edit
The Cardigans,Erase / Rewind
The Cardigans,My Favourite Game
The Clash,Should I Stay or Should I Go - Remastered
The Cure,Just Like Heaven
The Goo Goo Dolls,Iris
The Human League,Don't You Want Me
The Killers,Mr. Brightside
The Police,Every Breath You Take
The Police,Message In A Bottle
The Police,Roxanne
The Verve,Bitter Sweet Symphony
The White Stripes,Blue Orchid
The White Stripes,Fell In Love With a Girl
The White Stripes,Icky Thump
The White Stripes,Seven Nation Army
U2,Beautiful Day
U2,I Still Haven't Found What I'm Looking For
U2,Sunday Bloody Sunday - Remastered 2008
U2,With Or Without You
a-ha,Take On Me
