Artist,Song
"24kGoldn,Justin Bieber,J Balvin,iann dior","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior"
5 Seconds of Summer,Youngblood
"50 Cent,Justin Timberlake,Timbaland",Ayo Technology
"AFROJACK,Martin Garrix",Turn Up The Speakers
Adele,Hello
Adele,Skyfall
Adele,Water Under the Bridge
Alessia Cara,Here
"Alessia Cara,Justin Caruso",Growing Pains - Justin Caruso Remix
Alicia Keys,Fallin'
Anne-Marie,Alarm
"Anne-Marie,Dave Winnel",Alarm - Dave Winnel Remix
"Anne-Marie,Marshmello",Alarm - Marshmello Remix
Ariana Grande,Be Alright
Ariana Grande,Dangerous Woman
Ariana Grande,Focus
Ariana Grande,One Last Time
Ariana Grande,Santa Tell Me
Ariana Grande,no tears left to cry
"Ariana Grande,Iggy Azalea",Problem
"Ariana Grande,Miley Cyrus,Lana Del Rey",Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)
"Ariana Grande,Nicki Minaj,Slushii",Side To Side - Slushii Remix
"Ariana Grande,The Weeknd",Love Me Harder
"Ariana Grande,Zedd",Break Free
Astrid S,Hurts So Good
Avicii,Addicted To You
Avicii,Hey Brother
Avicii,Levels - Original Version
Avicii,Silhouettes - Original Radio Edit
Avicii,Sunset Jesus
Avicii,Sweet Dreams - Avicii Swede Dreams Mix
Avicii,Wake Me Up
Avicii,You Make Me
"Avicii,Aloe Blacc",SOS
"Avicii,CAZZETTE,Sebastian Furrer,Alexander Björklund",Levels - Cazzette's NYC Mode Mix
"Avicii,Lenny Kravitz",Superlove (Avicii vs. Lenny Kravitz) - Radio Edit
"Avicii,Rita Ora",Lonely Together (feat. Rita Ora)
"Avicii,Sandro Cavazza",Without You (feat. Sandro Cavazza)
"Avicii,Sebastien Drums",My Feelings for You
Avril Lavigne,Complicated
Avril Lavigne,I'm with You
Avril Lavigne,Sk8er Boi
"Avril Lavigne,Chad Kroeger",Let Me Go
Backstreet Boys,Everybody (Backstreet's Back) - Radio Edit
Backstreet Boys,I Want It That Way
Backstreet Boys,Larger Than Life
Bebe Rexha,(Not) The One
Beyoncé,Best Thing I Never Had
Beyoncé,Green Light
Beyoncé,Halo
Beyoncé,Irreplaceable
Beyoncé,Love On Top
Beyoncé,Naughty Girl
Beyoncé,Pretty Hurts
"Beyoncé,JAY-Z",Crazy In Love (feat. Jay-Z)
"Beyoncé,JAY-Z",Deja Vu (feat. Jay-Z)
"Beyoncé,JAY-Z",Upgrade U (feat. Jay-Z)
"Beyoncé,Shakira",Beautiful Liar
"Beyoncé,Slim Thug",Check On It (feat. Slim Thug)
Black Eyed Peas,Let's Get It Started - Spike Mix
"Blu Cantrell,Sean Paul",Breathe (feat. Sean Paul) - Rap Version
"Bob Sinclar,Avicii",New New New - Avicii Meets Yellow Remix
Bridgit Mendler,Ready or Not
Britney Spears,Gimme More
Britney Spears,Toxic
Bruno Mars,24K Magic
Calvin Harris,Acceptable in the 80's
Calvin Harris,I'm Not Alone - Radio Edit
"Calvin Harris,Ayah Marar",Thinking About You (feat. Ayah Marar)
"Calvin Harris,Disciples",How Deep Is Your Love
"Calvin Harris,Dua Lipa",One Kiss (with Dua Lipa)
"Calvin Harris,Ellie Goulding",Outside (feat. Ellie Goulding)
"Charlie Puth,Kehlani",Done for Me (feat. Kehlani)
"Charlie Puth,Slushii",The Way I Am - Slushii Remix
"Cheat Codes,Demi Lovato",No Promises (feat. Demi Lovato)
Christina Aguilera,Ain't No Other Man
Christina Aguilera,Beautiful
Christina Aguilera,Candyman
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version
Christina Aguilera,Fighter
Christina Aguilera,Genie in a Bottle
"Christina Aguilera,Lil' Kim,Mýa,P!nk",Lady Marmalade
"Christina Aguilera,Redman",Dirrty
"Classified,Olly Murs",Inner Ninja (feat. Olly Murs)
"Clean Bandit,Jess Glynne",Rather Be (feat. Jess Glynne)
"Clean Bandit,Julia Michaels",I Miss You (feat. Julia Michaels)
"DJ Khaled,Justin Bieber,Quavo,Chance the Rapper",No Brainer
"DJ Snake,AlunaGeorge",You Know You Like It
David Guetta,Love Don't Let Me Go
"David Guetta,AFROJACK,Charli XCX,French Montana",Dirty Sexy Money (feat. Charli XCX & French Montana)
"David Guetta,Bebe Rexha",I'm Good (Blue)
"David Guetta,Benny Benassi,Hardwell,Maddix",Satisfaction - Hardwell & Maddix Remix
"David Guetta,Dirty South,Sebastian Ingrosso,Julie McKnight",How Soon Is Now - Dirty South
"David Guetta,Kelly Rowland",When Love Takes Over (feat. Kelly Rowland)
"David Guetta,Kid Cudi",Memories (feat. Kid Cudi)
"David Guetta,MORTEN,RAYE",Make It to Heaven (with Raye)
"David Guetta,Martin Garrix,Brooks",Like I Do
"David Guetta,Tocadisco,Chris Willis",Sound Of Letting Go (feat. Chris Willis)
Destiny's Child,Bootylicious
Destiny's Child,Lose My Breath
Destiny's Child,Say My Name
"Dillon Francis,Martin Garrix",Set Me Free
"Dimitri Vegas & Like Mike,David Guetta,R3HAB,Kiiara",Complicated (feat. Kiiara) - R3hab Remix
"Dimitri Vegas & Like Mike,Martin Garrix",Tremor - Original Mix
"Disclosure,Lorde",Magnets
"Disclosure,Sam Smith",Latch
"Disclosure,Sam Smith",Omen
"Disclosure,Sam Smith",Omen - Radio Edit
"Disclosure,The Weeknd",Nocturnal
"Drake,Rihanna",Too Good
Dua Lipa,IDGAF
"Dua Lipa,DaBaby",Levitating (feat. DaBaby)
"Dua Lipa,Young Franco",IDGAF - Young Franco Remix
Ed Sheeran,Castle on the Hill
Ed Sheeran,I See Fire - From The Hobbit - The Desolation Of Smaug
Ed Sheeran,New Man
Ed Sheeran,Shape of You
"Ed Sheeran,Bring Me The Horizon",Bad Habits (feat. Bring Me The Horizon)
"Ed Sheeran,Khalid",Beautiful People (feat. Khalid)
"Ed Sheeran,Rudimental",Bloodstream
"Ellie Goulding,Bassnectar",Lights - Bassnectar Remix
"Ellie Goulding,Russ Chimes",Starry Eyed - Russ Chimes Remix
"Eminem,Ed Sheeran",River (feat. Ed Sheeran)
"Eminem,Rihanna",The Monster
"Faithless,Rollo Armstrong,Sister Bliss,Avicii,Goetz",Insomnia 2.0 (Avicii Remix) [Radio Edit]
Fall Out Boy,"Dance, Dance"
Fall Out Boy,Grand Theft Autumn / Where Is Your Boy
Fall Out Boy,I Don't Care
Fall Out Boy,"Sugar, We're Goin Down"
Fall Out Boy,Thnks fr th Mmrs
Fergie,Big Girls Don't Cry (Personal)
Fergie,London Bridge - Dirty Version
"Fifth Harmony,Ty Dolla $ign",Work from Home
"Fifth Harmony,Ty Dolla $ign",Work from Home (feat. Ty Dolla $ign)
Flo Rida,Good Feeling
Flo Rida,I Cry
Flo Rida,My House
Flo Rida,Right Round
Flo Rida,Whistle
"Flo Rida,T-Pain",Low (feat. T-Pain)
"Flume,Tove Lo",Say It
"G-Eazy,Bebe Rexha","Me, Myself & I"
Galantis,No Money
Galantis,Peanut Butter Jelly
"Gwen Stefani,Akon",The Sweet Escape
"Hailee Steinfeld,Grey,Zedd",Starving
Halsey,Without Me
"Halsey,Autograf",Bad At Love - Autograf Remix
"Iggy Azalea,Charli XCX",Fancy
"Iggy Azalea,Jennifer Hudson",Trouble
Imagine Dragons,Radioactive
"Jack Ü,Skrillex,Diplo,Justin Bieber",Where Are Ü Now (with Justin Bieber)
"James Morrison,Nelly Furtado",Broken Strings
Jason Derulo,Kiss the Sky
Jason Derulo,Ridin' Solo
Jennifer Lopez,Get Right
"Jennifer Lopez,Ja Rule",I'm Real (feat. Ja Rule) - Murder Remix
