Artist,Song
"24kGoldn,Justin Bieber,J Balvin,iann dior","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior"
50 Cent,If I Can't
50 Cent,In Da Club
50 Cent,Just A Lil Bit
50 Cent,Many Men (Wish Death)
50 Cent,P.I.M.P.
"50 Cent,Justin Timberlake,Timbaland",Ayo Technology
"50 Cent,Nate Dogg",21 Questions
"50 Cent,Olivia",Candy Shop
"A Tribe Called Quest,Busta Rhymes,Dinco D,Charlie Brown","Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) - LP Mix"
"B.o.B,Hayley Williams",Airplanes (feat. Hayley Williams of Paramore)
"Baby Bash,Frankie J",Suga Suga
"Beyoncé,JAY-Z",Crazy In Love (feat. Jay-Z)
"Beyoncé,JAY-Z",Deja Vu (feat. Jay-Z)
"Beyoncé,JAY-Z",Upgrade U (feat. Jay-Z)
Black Eyed Peas,Let's Get It Started - Spike Mix
"Blu Cantrell,Sean Paul",Breathe (feat. Sean Paul) - Rap Version
"Cam'ron,Juelz Santana,Freekey Zeekey,Toya",Hey Ma
Cassie,Me & U
"Chris Brown,Tyga",Ayo
"Christina Aguilera,Lil' Kim,Mýa,P!nk",Lady Marmalade
"Craig Mack,Busta Rhymes,LL COOL J,Rampage,The Notorious B.I.G.","Flava in Ya Ear Remix (feat. The Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage)"
"DJ Khaled,Drake,Rick Ross,Lil Wayne",I'm On One
"DJ Khaled,Justin Bieber,Quavo,Chance the Rapper",No Brainer
"David Guetta,AFROJACK,Charli XCX,French Montana",Dirty Sexy Money (feat. Charli XCX & French Montana)
"David Guetta,Kid Cudi",Memories (feat. Kid Cudi)
"Dr. Dre,Snoop Dogg",The Next Episode
Drake,0 To 100 / The Catch Up
Drake,God's Plan
Drake,Nice For What
"Drake,Rihanna",Too Good
"Drake,Wizkid,Kyla",One Dance
"Dua Lipa,DaBaby",Levitating (feat. DaBaby)
"Eminem,50 Cent,Ca$his,Lloyd Banks",You Don't Know
"Fifth Harmony,Ty Dolla $ign",Work from Home
"Fifth Harmony,Ty Dolla $ign",Work from Home (feat. Ty Dolla $ign)
Flo Rida,Good Feeling
Flo Rida,I Cry
Flo Rida,My House
Flo Rida,Right Round
Flo Rida,Whistle
"Flo Rida,T-Pain",Low (feat. T-Pain)
"French Montana,Swae Lee,Tiësto,Dzeko",Unforgettable (feat. Swae Lee) - Tiësto vs. Dzeko AFTR:HRS Remix
"G-Eazy,Bebe Rexha","Me, Myself & I"
G-Unit,Poppin' Them Thangs
JAY-Z,Dead Presidents II
JAY-Z,Run This Town [Jay-Z + Rihanna + Kanye West]
"JAY-Z,Kanye West",Ni**as In Paris
"JAY-Z,Kanye West,Frank Ocean,The-Dream",No Church In The Wild
"JAY-Z,Kanye West,Otis Redding",Otis
"Jennifer Lopez,Ja Rule",I'm Real (feat. Ja Rule) - Murder Remix
"Justice,Logic",D.A.N.C.E. - Logic Reprise
"Justin Timberlake,T.I.",My Love (feat. T.I.)
"Justin Timberlake,Timbaland",SexyBack (feat. Timbaland)
"Kanye West,JAY-Z",Diamonds From Sierra Leone - Remix - Album Version (Explicit)
"Kanye West,JAY-Z,Big Sean",Clique
"Kanye West,Kid Cudi,Raekwon",Gorgeous
"Kanye West,Ludacris",Breathe In Breathe Out
"Kanye West,Lupe Fiasco",Touch The Sky
"Kanye West,T-Pain",Good Life
"Kato,Snoop Dogg,Ida Corr,Kurupt","Let The Horns Play (feat. Snoop Dogg, Ida Corr & Kurupt)"
Kid Cudi,Day 'N' Nite (Nightmare)
"Kid Cudi,Crookers",Day 'N' Nite - Crookers Remix
"Kid Cudi,MGMT,Ratatat",Pursuit Of Happiness (Nightmare)
"Kid Ink,Chris Brown",Show Me
Lil Dicky,White Crime
"Lil Dicky,Brendon Urie",Molly (feat. Brendon Urie of Panic at the Disco)
"Lil' Kim,JAY-Z",Big Momma Thang (feat. Jay-Z)
Logic,Bounce
Logic,Buried Alive
Logic,City Of Stars
Logic,Fade Away
Logic,Gang Related
Logic,Growing Pains III
Logic,I Am The Greatest
Logic,I'm Gone
Logic,Intro - Logic/Under Pressure
Logic,Like Woah
Logic,Lord Willin'
Logic,Metropolis
Logic,Never Been
Logic,Never Enough
Logic,Nikki
Logic,Now
Logic,Run It
Logic,Soul Food
Logic,The Incredible True Story
Logic,Till The End
Logic,Under Pressure
Logic,Upgrade
"Logic,Big Lenbo",Young Jesus
"Logic,Big Sean",Alright
"Logic,Childish Gambino",Driving Ms Daisy
"Logic,Dria",Stainless
"Logic,Jesse Boykins III",Paradise
"Logic,Lucy Rose",Innermission
"Logic,Wale,John Lindahl",100 Miles and Running (ft. Wale & John Lindahl)
Lupe Fiasco,"Kick, Push"
"Lupe Fiasco,Jill Scott",Daydreamin' (feat. Jill Scott)
Mac Miller,BDE Bonus
"Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Mary Lambert",Same Love (feat. Mary Lambert)
"Madonna,Justin Timberlake,Timbaland",4 Minutes (feat. Justin Timberlake & Timbaland)
"Martin Garrix,Macklemore,Fall Out Boy",Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)
MiMS,This Is Why I'm Hot
Missy Elliott,Get Ur Freak On
Missy Elliott,Work It
"Mura Masa,Desiigner",All Around The World (feat. Desiigner)
NF,Let You Down
"Nelly Furtado,Timbaland",Promiscuous
"Nico & Vinz,Kid Ink,Bebe Rexha",That's How You Know (feat. Kid Ink & Bebe Rexha)
"Reel Wolf,La Coka Nostra,Tech N9ne,Army Of The Pharaohs,Bizarre,Swifty McVay,The Goondox,King Gordy,Sid Wilson","The Underworld (feat. La Coka Nostra, Tech N9ne, Army of the Pharaohs, Bizarre, Swifty MC Vay, Goondox, King Gordy & Sid Wilson)"
"Rihanna,Drake",Work
Sean Paul,Get Busy
Sean Paul,Temperature
Sean Paul,We Be Burnin'
"Sean Paul,Beyoncé",Baby Boy (feat. Beyoncé )
Shaggy,Boombastic
"Shaggy,Rayvon",Angel
"Shaggy,Rik Rok",It Wasn't Me
"Sia,Sean Paul,Le Youth",Cheap Thrills (feat. Sean Paul) - Le Youth Remix
"Snakehips,Tinashe,Chance the Rapper",All My Friends (feat. Tinashe & Chance the Rapper)
"Snakehips,Tory Lanez",Dímelo
"Snoop Dogg,Charlie Wilson,Justin Timberlake",Signs
"Snoop Dogg,Daz Dillinger",Gin And Juice (feat. Dat Nigga Daz)
"Snoop Dogg,Nancy Fletcher",Gz And Hustlas (feat. Nancy Fletcher)
"Snoop Dogg,Wiz Khalifa,Bruno Mars","Young, Wild & Free (feat. Bruno Mars)"
Taio Cruz,Dynamite
"Taio Cruz,Flo Rida",Hangover
"Taio Cruz,Ludacris",Break Your Heart
The Game,The Documentary 2
"The Game,50 Cent",Hate It Or Love It
"The Game,50 Cent",How We Do
"The Game,Diddy",Standing On Ferraris - feat. Diddy
"The Game,Fergie,will.i.am,Snoop Dogg","LA - feat. Snoop Dogg, Will.I.Am & Fergie"
