Artist,Song
"3LAU,Bright Lights",How You Love Me
"Above & Beyond,Gareth Emery,OceanLab",On A Good Day (Metropolis)
"Above & Beyond,Gareth Emery,OceanLab,J Magik,Wickaman",On A Good Day (Metropolis) - J Majik & Wickaman Remix
"Anne-Marie,Marshmello",Alarm - Marshmello Remix
"Audien,Deb’s Daughter,Niko The Kid",Crazy Love - Niko The Kid Remix
"Avicii,CAZZETTE,Sebastian Furrer,Alexander Björklund",Levels - Cazzette's NYC Mode Mix
"Avicii,Sebastien Drums",My Feelings for You
"Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",Sun Is Shining
Bali Bandits,Edm Party
Bali Bandits,KABOOM
Bingo Players,Cry (Just A Little) - Original
"Blue Foundation,Zeds Dead",Eyes on Fire - Zeds Dead Remix
"Bob Sinclar,Kryder",Someone Who Needs Me - Kryder Remix Edit
Brooks,If Only I Could - Radio Edit
"Contiez,Treyy G",Trumpsta (feat. Treyy G) - Djuro Remix
Dada Life,Born To Rage - USA Version
DallasK,All My Life
"Dannic,We AM",Move
"Dash Berlin,Cerf,Mitiska,Jaren",Man On The Run
"David Guetta,Benny Benassi,Hardwell,Maddix",Satisfaction - Hardwell & Maddix Remix
"David Guetta,Dirty South,Sebastian Ingrosso,Julie McKnight",How Soon Is Now - Dirty South
"David Guetta,Martin Garrix,Brooks",Like I Do
Deorro,Bootie in Your Face - No Rock Drop
Deorro,Dechorro - Original Mix
Deorro,Yee - Original Mix
"Dillon Francis,Martin Garrix",Set Me Free
Dimitri Vegas & Like Mike,Under The Water - Dada Life Rmx
"Dimitri Vegas & Like Mike,David Guetta,R3HAB,Kiiara",Complicated (feat. Kiiara) - R3hab Remix
"Dimitri Vegas & Like Mike,Martin Garrix",Tremor - Original Mix
"Dinka,EDX",Elements - EDX Radio Mix
Don Diablo,Cutting Shapes
Don Diablo,On My Mind - Radio Edit
Don Diablo,Save a Little Love
"Don Diablo,A R I Z O N A",Take Her Place (feat. A R I Z O N A)
"Erick Morillo,Eddie Thoneick,Angel Taylor",Lost In You
"Erick Morillo,Eddie Thoneick,Angel Taylor",Lost In You - Extended Mix
"Eurythmics,Annie Lennox,Dave Stewart,Steve Angello",Sweet Dreams (Are Made Of This) - Steve Angello Remix Edit
"Faithless,Rollo Armstrong,Sister Bliss,Axwell,Goetz",Insomnia 2.0 - Avicii Extended Remix
Fedde Le Grand,Put Your Hands Up For Detroit
"Fox Stevenson,Curbi",Hoohah - Radio Edit
"Fox Stevenson,Curbi",Hoohah - VIP Edit
"Fox Stevenson,Mesto",Chatterbox
"French Montana,Swae Lee,Tiësto,Dzeko",Unforgettable (feat. Swae Lee) - Tiësto vs. Dzeko AFTR:HRS Remix
Hardwell,Encoded - Dada Life Remix
Hardwell,Encoded - Original Mix
"Hardwell,Armin van Buuren",Off the Hook
"Hardwell,Showtek",How We Do - Original Mix
Holl & Rush,Feel Free
"IZECOLD,Molly Ann,Brooks",Close
"Juice WRLD,Marshmello",Come & Go (with Marshmello)
"Julian Jordan,Martin Garrix",BFAM
"KSHMR,Maddix",Close To You
"KSHMR,Mike Waters",My Best Life (feat. Mike Waters)
Kaskade,4 AM - Adam K & Soha Radio Edit
Kaskade,Move For me
"Krewella,Vicetone",Enjoy the Ride - Vicetone Remix
"Kx5,deadmau5,Kaskade,Hayla",Escape (feat. Hayla)
"Lady Bee,Rochelle,Oliver Heldens",Return Of The Mack (feat. Rochelle) - Oliver Heldens Remix
"Linkin Park,Kiiara,Nicky Romero",Heavy (feat. Kiiara) - Nicky Romero Remix
"MOTi,Nabiha",Turn Me Up - ViP Mix
Maison & Dragen,Rio De Janeiro - Original Mix
"Marshmello,Khalid,Slushii",Silence - Slushii Remix
"Martin Garrix,Dua Lipa,Brooks",Scared To Be Lonely - Brooks Remix
"Martin Garrix,Firebeatz",Helicopter - Original Edit
"Martin Garrix,Florian Picasso",Make up Your Mind
"Martin Garrix,Jay Hardway",Error 404 - Original Mix
"Martin Garrix,Jay Hardway",Spotless
"Martin Garrix,Jay Hardway",Wizard - Radio Edit
"Martin Garrix,Jay Hardway",Wizard - Tchami Edit
"Martin Garrix,Julian Jordan",Welcome
"Martin Garrix,Justin Mylo,Mesto",Bouncybob (feat. Justin Mylo & Mesto)
"Martin Garrix,MOTi",Virus (How About Now)
"Martin Garrix,MOTi",Virus (How About Now) - Original Mix
"Martin Garrix,Matisse & Sadko",Break Through The Silence - Original Mix
"Martin Garrix,Matisse & Sadko",Break Through The Silence - Radio Edit
"Martin Garrix,Matisse & Sadko",Dragon - Original Mix
"Martin Garrix,Matisse & Sadko",Together
"Martin Garrix,Mesto",WIEE (feat. Mesto)
"Martin Garrix,TV Noise",Just Some Loops - Radio Edit
"Martin Garrix,Third Party",Lions in the Wild
"Martin Garrix,Troye Sivan,Madison Mars",There For You - Madison Mars Remix
Mat Zo,Games
Mat Zo,Vice
Matisse & Sadko,Hi Scandinavia! - Original Mix
Nicky Romero,The Moment (Novell)
