Artist,Song
"112,The Notorious B.I.G.,Ma$e","Only You (feat. The Notorious B.I.G., Ma$e) - Bad Boy Remix"
"A Tribe Called Quest,Faith Evans",Stressed Out (feat. Faith Evans)
Adina Howard,Freak Like Me
"Alex Gaudino,Kelly Rowland",What a Feeling (feat. Kelly Rowland) - Radio Edit
Alicia Keys,Fallin'
Amerie,1 Thing
"Avicii,Aloe Blacc",SOS
Bell Biv DeVoe,Poison
Beyoncé,Best Thing I Never Had
Beyoncé,Green Light
Beyoncé,Halo
Beyoncé,Irreplaceable
Beyoncé,Love On Top
Beyoncé,Naughty Girl
Beyoncé,Pretty Hurts
"Beyoncé,JAY-Z",Crazy In Love (feat. Jay-Z)
"Beyoncé,JAY-Z",Deja Vu (feat. Jay-Z)
"Beyoncé,JAY-Z",Upgrade U (feat. Jay-Z)
"Beyoncé,Shakira",Beautiful Liar
"Beyoncé,Slim Thug",Check On It (feat. Slim Thug)
"Blackstreet,Dr. Dre,Queen Pen",No Diggity
Cassie,Me & U
"Charlie Puth,Kehlani",Done for Me (feat. Kehlani)
"Childish Gambino,Jhené Aiko",I. Pink Toes
"Chris Brown,Tyga",Ayo
"Christina Aguilera,Lil' Kim,Mýa,P!nk",Lady Marmalade
"David Guetta,Kelly Rowland",When Love Takes Over (feat. Kelly Rowland)
Destiny's Child,Bootylicious
Destiny's Child,Lose My Breath
Destiny's Child,Say My Name
"Disclosure,Miguel",Good Intentions
"Emeli Sandé,The Wild",Highs & Lows - The Wild Remix
"Estelle,Kanye West",American Boy (feat. Kanye West)
"Fifth Harmony,Ty Dolla $ign",Work from Home
"Fifth Harmony,Ty Dolla $ign",Work from Home (feat. Ty Dolla $ign)
"Flo Rida,T-Pain",Low (feat. T-Pain)
"Fugees,Ms. Lauryn Hill,Wyclef Jean,Pras",Fu-Gee-La
"Fugees,Ms. Lauryn Hill,Wyclef Jean,Pras",Ready or Not
"Gang Starr,Total",Discipline
"George Michael,Mary J. Blige",As - Remastered 2006
Ginuwine,Pony
"Guru,Erykah Badu",Plenty
"Iggy Azalea,Jennifer Hudson",Trouble
"JAY-Z,Kanye West,Frank Ocean,The-Dream",No Church In The Wild
"Janelle Monáe,Erykah Badu",Q.U.E.E.N. (feat. Erykah Badu)
"Joe Stone,Montell Jordan",The Party (This Is How We Do It)
"Jordin Sparks,Chris Brown",No Air (feat. Chris Brown)
"Jordin Sparks,Chris Brown",No Air (feat. Chris Brown) - Acoustic Version
"KAYTRANADA,H.E.R.",Intimidated (feat. H.E.R.)
"KAYTRANADA,Tinashe",The Worst In Me
"Kanye West,JAY-Z,Big Sean",Clique
"Kanye West,Jamie Foxx",Gold Digger
"Kanye West,T-Pain",Good Life
Kehlani,Keep On
"Khalid,Normani",Love Lies (with Normani)
"Kid Ink,Chris Brown",Show Me
"LL COOL J,Boyz II Men",Hey Lover
"Lil' Kim,JAY-Z",Big Momma Thang (feat. Jay-Z)
"Lizzo,SZA",Special (feat. SZA)
"Logic,Big Sean",Alright
"Logic,Wale,John Lindahl",100 Miles and Running (ft. Wale & John Lindahl)
Lucky Daye,Late Night
"Lupe Fiasco,Jill Scott",Daydreamin' (feat. Jill Scott)
"Major Lazer,PARTYNEXTDOOR,Nicki Minaj",Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)
"Martin Garrix,USHER",Don't Look Down (feat. Usher)
Mary J. Blige,Family Affair
Mase,All I Ever Wanted
Mase,Feel so Good
Michael Jackson,Bad
Michael Jackson,Beat It - Single Version
Michael Jackson,Billie Jean
Michael Jackson,Black or White - Remastered Version
Michael Jackson,Dirty Diana
Michael Jackson,Don't Stop 'Til You Get Enough - 2003 Edit
Michael Jackson,Earth Song - Radio Edit
Michael Jackson,Heal the World
Michael Jackson,Man in the Mirror - Remastered Version
Michael Jackson,P.Y.T. (Pretty Young Thing)
Michael Jackson,Remember the Time
Michael Jackson,Rock with You - Single Version
Michael Jackson,Smooth Criminal - Radio Edit
Michael Jackson,The Way You Make Me Feel - Single Version
Michael Jackson,They Don't Care About Us - Remastered Version
Michael Jackson,Thriller
Michael Jackson,Wanna Be Startin' Somethin'
Missy Elliott,Get Ur Freak On
Missy Elliott,Work It
Ms. Lauryn Hill,Doo Wop (That Thing)
"Pras,Ol' Dirty Bastard,Mýa",Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa)
SZA,Go Gina
"Salt-N-Pepa,En Vogue",Whatta Man
"Sean Paul,Beyoncé",Baby Boy (feat. Beyoncé )
"Snakehips,Tinashe,Chance the Rapper",All My Friends (feat. Tinashe & Chance the Rapper)
"Snakehips,Tory Lanez",Dímelo
"Snoop Dogg,Charlie Wilson,Justin Timberlake",Signs
TLC,No Scrubs
"The Notorious B.I.G.,Mase,Diddy",Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster
"Timbaland,Keri Hilson,D.O.E.",The Way I Are
"Timbaland,Keri Hilson,Nicole Scherzinger",Scream - Radio Edit
USHER,Good Kisser - Disclosure Remix
"USHER,Alicia Keys",My Boo
"USHER,Lil Jon,Ludacris",Yeah!
"Will Smith,Dru Hill,Kool Moe Dee",Wild Wild West - Album Version - No Intro
Zhané,Hey Mr. D.J. - Original Mix - Edit
