Artist,Song
"112,The Notorious B.I.G.,Ma$e","Only You (feat. The Notorious B.I.G., Ma$e) - Bad Boy Remix"
2Pac,All Eyez On Me
2Pac,How Do You Want It
"2Pac,Roger,Dr. Dre",California Love - Original Version
"2Pac,Talent",Changes
50 Cent,If I Can't
50 Cent,In Da Club
50 Cent,Just A Lil Bit
50 Cent,Many Men (Wish Death)
50 Cent,P.I.M.P.
"50 Cent,Justin Timberlake,Timbaland",Ayo Technology
"50 Cent,Nate Dogg",21 Questions
"50 Cent,Olivia",Candy Shop
"A Tribe Called Quest,Busta Rhymes,Dinco D,Charlie Brown","Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) - LP Mix"
"Akon,Eminem",Smack That
"Ariana Grande,Nicki Minaj,Slushii",Side To Side - Slushii Remix
"B.o.B,Hayley Williams",Airplanes (feat. Hayley Williams of Paramore)
"Beyoncé,JAY-Z",Crazy In Love (feat. Jay-Z)
"Beyoncé,JAY-Z",Deja Vu (feat. Jay-Z)
"Beyoncé,JAY-Z",Upgrade U (feat. Jay-Z)
"Blackstreet,Dr. Dre,Queen Pen",No Diggity
"Charlie Puth,Kehlani",Done for Me (feat. Kehlani)
Childish Gambino,3005 - Friction Remix
Childish Gambino,All The Shine
Childish Gambino,Backpackers
Childish Gambino,Bonfire
Childish Gambino,Fire Fly
Childish Gambino,Freaks And Geeks
Childish Gambino,Heartbeat
Childish Gambino,Hold You Down
Childish Gambino,I.Crawl
Childish Gambino,II. Shadows
Childish Gambino,III. Telegraph Ave. (Oakland by Lloyd)
Childish Gambino,Kids
Childish Gambino,LES
Childish Gambino,Letter Home
Childish Gambino,Not Going Back
Childish Gambino,Outside
Childish Gambino,Retro [ROUGH]
Childish Gambino,Sober
Childish Gambino,Sunrise
Childish Gambino,That Power
Childish Gambino,V. 3005
Childish Gambino,You See Me
"Childish Gambino,Jhené Aiko",I. Pink Toes
"Childish Gambino,Oliver",Heartbeat (OLIVER Remix) - Oliver Remix
"Childish Gambino,Treasure Fingers",Heartbeat (Treasure Fingers Remix)
"Chris Brown,Tyga",Ayo
"Christina Aguilera,Lil' Kim,Mýa,P!nk",Lady Marmalade
"Craig Mack,Busta Rhymes,LL COOL J,Rampage,The Notorious B.I.G.","Flava in Ya Ear Remix (feat. The Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage)"
"DJ Khaled,Drake,Rick Ross,Lil Wayne",I'm On One
"DJ Khaled,Justin Bieber,Quavo,Chance the Rapper",No Brainer
DMX,X Gon' Give It To Ya
"David Guetta,AFROJACK,Charli XCX,French Montana",Dirty Sexy Money (feat. Charli XCX & French Montana)
"David Guetta,Kid Cudi",Memories (feat. Kid Cudi)
"Dr. Dre,Snoop Dogg",The Next Episode
Drake,0 To 100 / The Catch Up
Drake,God's Plan
Drake,Nice For What
"Drake,Rihanna",Too Good
"Drake,Wizkid,Kyla",One Dance
"Dua Lipa,DaBaby",Levitating (feat. DaBaby)
Eazy-E,Gimmie That Nutt
Eminem,Infinite
Eminem,Lose Yourself - Soundtrack Version
Eminem,Mockingbird
Eminem,My Name Is
Eminem,Sing For The Moment
Eminem,The Real Slim Shady
Eminem,Without Me
"Eminem,50 Cent,Ca$his,Lloyd Banks",You Don't Know
"Eminem,Dido",Stan
"Eminem,Ed Sheeran",River (feat. Ed Sheeran)
"Eminem,Nate Dogg",'Till I Collapse
"Eminem,Rihanna",The Monster
"Estelle,Kanye West",American Boy (feat. Kanye West)
"Flo Rida,T-Pain",Low (feat. T-Pain)
"Flume,Vince Staples,KUČKA",Smoke & Retribution
"French Montana,Swae Lee,Tiësto,Dzeko",Unforgettable (feat. Swae Lee) - Tiësto vs. Dzeko AFTR:HRS Remix
"G-Eazy,Bebe Rexha","Me, Myself & I"
G-Unit,Poppin' Them Thangs
Ice Cube,Check Yo Self
Ice Cube,It Was A Good Day
Ice Cube,My Summer Vacation
Ice Cube,No Vaseline
Ice Cube,You Know How We Do It
JAY-Z,Dead Presidents II
JAY-Z,Run This Town [Jay-Z + Rihanna + Kanye West]
"JAY-Z,Kanye West",Ni**as In Paris
"JAY-Z,Kanye West,Frank Ocean,The-Dream",No Church In The Wild
"JAY-Z,Kanye West,Otis Redding",Otis
"Jennifer Lopez,Ja Rule",I'm Real (feat. Ja Rule) - Murder Remix
"Jessie J,Ariana Grande,Nicki Minaj",Bang Bang
"Jordin Sparks,Chris Brown",No Air (feat. Chris Brown)
"Jordin Sparks,Chris Brown",No Air (feat. Chris Brown) - Acoustic Version
Juice WRLD,Lucid Dreams
Juice WRLD,Wishing Well
"Juice WRLD,Marshmello",Come & Go (with Marshmello)
"Justice,Logic",D.A.N.C.E. - Logic Reprise
"Justin Timberlake,T.I.",My Love (feat. T.I.)
"KAYTRANADA,H.E.R.",Intimidated (feat. H.E.R.)
Kanye West,All Of The Lights
Kanye West,All Of The Lights (Interlude)
Kanye West,Believe What I Say
Kanye West,Black Skinhead
Kanye West,Blood On The Leaves
Kanye West,Champion
Kanye West,Dark Fantasy
Kanye West,Heaven and Hell
Kanye West,New Slaves
Kanye West,No More Parties In LA
Kanye West,POWER
Kanye West,Stronger
Kanye West,The Glory
Kanye West,Through The Wire
"Kanye West,Chris Martin",Homecoming
"Kanye West,JAY-Z",Diamonds From Sierra Leone - Remix - Album Version (Explicit)
"Kanye West,JAY-Z,Big Sean",Clique
"Kanye West,Jamie Foxx",Gold Digger
"Kanye West,John Legend",Blame Game
