Artist,Song
3 Doors Down,Kryptonite
A Perfect Circle,The Outsider
AC/DC,Back In Black
AC/DC,Hells Bells
AC/DC,Highway to Hell
AC/DC,Shoot to Thrill
AC/DC,Stiff Upper Lip
AC/DC,T.N.T.
AC/DC,Thunderstruck
AC/DC,You Shook Me All Night Long
Aerosmith,Dream On
Aerosmith,Walk This Way
Alice Cooper,Poison
Alice In Chains,Down In A Hole (2022 Remaster)
Alice In Chains,Nutshell
Alice In Chains,Rooster (2022 Remaster)
Alice In Chains,Them Bones (2022 Remaster)
Alice In Chains,Would? (2022 Remaster)
Arctic Monkeys,Arabella
Arctic Monkeys,Do I Wanna Know?
Arctic Monkeys,Fireside
Arctic Monkeys,I Wanna Be Yours
Arctic Monkeys,I Want It All
Arctic Monkeys,Knee Socks
Arctic Monkeys,Mad Sounds
Arctic Monkeys,No. 1 Party Anthem
Arctic Monkeys,One For The Road
Arctic Monkeys,R U Mine?
Arctic Monkeys,Snap Out Of It
Arctic Monkeys,Why'd You Only Call Me When You're High?
Audioslave,#1 Zero
Audioslave,Be Yourself
Audioslave,Bring Em Back Alive
Audioslave,Broken City
Audioslave,Cochise
Audioslave,Dandelion
Audioslave,Doesn't Remind Me
Audioslave,Drown Me Slowly
Audioslave,Exploder
Audioslave,Gasoline
Audioslave,Getaway Car
Audioslave,Heaven's Dead
Audioslave,Hypnotize
Audioslave,I Am the Highway
Audioslave,Jewel Of The Summertime
Audioslave,Light My Way
Audioslave,Like a Stone
Audioslave,Man Or Animal
Audioslave,Moth
Audioslave,Nothing Left To Say But Goodbye
Audioslave,One And The Same
Audioslave,Original Fire
Audioslave,Out Of Exile
Audioslave,Out of Exile - Live at the Quart Festival
Audioslave,Revelations
Audioslave,Set It Off
Audioslave,Shadow on the Sun
Audioslave,Shape of Things to Come
Audioslave,Show Me How to Live
Audioslave,Somedays
Audioslave,Sound Of A Gun
Audioslave,The Curse
Audioslave,The Last Remaining Light
Audioslave,The Worm
Audioslave,Until We Fall
Audioslave,What You Are
Audioslave,Wide Awake
Audioslave,Yesterday To Tomorrow
Audioslave,Your Time Has Come
"Avicii,Lenny Kravitz",Superlove (Avicii vs. Lenny Kravitz) - Radio Edit
Beck,Colors
Billy Idol,Rebel Yell
Billy Idol,White Wedding - Pt.1
Billy Joel,Piano Man
Billy Joel,Uptown Girl
Billy Joel,We Didn't Start the Fire
Billy Squier,The Stroke
Black Sabbath,Iron Man
Black Sabbath,War Pigs
Blue Öyster Cult,(Don't Fear) The Reaper
Blur,Song 2 - 2012 Remaster
Bon Jovi,It's My Life
Bon Jovi,Livin' On A Prayer
Bon Jovi,Wanted Dead Or Alive
Bon Jovi,You Give Love A Bad Name
Boston,More Than a Feeling
Bring Me The Horizon,And the Snakes Start to Sing
Bring Me The Horizon,Antivist
Bring Me The Horizon,Avalanche
Bring Me The Horizon,Blasphemy
Bring Me The Horizon,Can You Feel My Heart
Bring Me The Horizon,Candy Truck / You Expected: LAB Your Result: Green
Bring Me The Horizon,DiE4u
Bring Me The Horizon,Doomed
Bring Me The Horizon,Drown
Bring Me The Horizon,Empire (Let Them Sing)
Bring Me The Horizon,Follow You
Bring Me The Horizon,"Go to Hell, for Heaven's Sake"
Bring Me The Horizon,Happy Song
Bring Me The Horizon,LosT
Bring Me The Horizon,MANTRA
Bring Me The Horizon,Oh No
Bring Me The Horizon,Parasite Eve
Bring Me The Horizon,Run
Bring Me The Horizon,Shadow Moses
Bring Me The Horizon,Sleepwalking
Bring Me The Horizon,Teardrops
Bring Me The Horizon,The House of Wolves
Bring Me The Horizon,Throne
Bring Me The Horizon,True Friends
Bring Me The Horizon,What You Need
Bring Me The Horizon,medicine
Bring Me The Horizon,mother tongue
Bring Me The Horizon,ouch
Bring Me The Horizon,sTraNgeRs
Bring Me The Horizon,sugar honey ice & tea
Bring Me The Horizon,why you gotta kick me when i'm down?
"Bring Me The Horizon,Dani Filth",wonderful life (feat. Dani Filth)
"Bring Me The Horizon,Grimes",nihilist blues (feat. Grimes)
