Artist,Song
"America,George Martin",A Horse with No Name - 2006 Remaster
Bee Gees,More Than A Woman
Bee Gees,Night Fever - 2009 Remastered Version
Bee Gees,Stayin' Alive - Remastered Version
"Bill Medley,Jennifer Warnes",(I've Had) The Time of My Life
Billy Idol,Rebel Yell
Billy Idol,White Wedding - Pt.1
Billy Joel,Piano Man
Billy Joel,Uptown Girl
Billy Joel,We Didn't Start the Fire
Billy Squier,The Stroke
Bonnie Tyler,Holding Out for a Hero - From Footloose Soundtrack
Bonnie Tyler,Total Eclipse of the Heart
Boston,More Than a Feeling
"Bruce Hornsby,The Range",The Way It Is
Bryan Adams,Run To You
Bryan Adams,Summer Of '69
Culture Club,Karma Chameleon
Cutting Crew,(I Just) Died In Your Arms
Cyndi Lauper,Girls Just Want to Have Fun
Cyndi Lauper,Time After Time
Daryl Hall & John Oates,Maneater
Daryl Hall & John Oates,You Make My Dreams (Come True)
Diana Ross,Aint No Mountain High Enough
Diana Ross,I'm Coming Out
Diana Ross,Upside Down
Don McLean,American Pie
Donna Summer,Hot Stuff
Duran Duran,Ordinary World - Acoustic
Eddie Rabbitt,I Love a Rainy Night
"Eurythmics,Annie Lennox,Dave Stewart,Steve Angello",Sweet Dreams (Are Made Of This) - Steve Angello Remix Edit
Fleetwood Mac,Dreams
Fleetwood Mac,Everywhere
Fleetwood Mac,Go Your Own Way
Fleetwood Mac,Little Lies
Fleetwood Mac,Oh Well - Live
Fleetwood Mac,The Chain - 2004 Remaster
Foreigner,Cold as Ice
Foreigner,Hot Blooded
Foreigner,I Want to Know What Love Is - 1999 Remaster
Foreigner,Juke Box Hero
Foreigner,Waiting for a Girl like You
Genesis,I Can't Dance - Remastered 2007
Genesis,Land Of Confusion - Remastered 2007
Glen Campbell,Southern Nights
Gloria Gaynor,I Will Survive
Huey Lewis & The News,Hip To Be Square
Irene Cara,Flashdance...What a Feeling - Radio Edit
John Denver,"Take Me Home, Country Roads - Rerecorded"
Journey,Any Way You Want It
Journey,Don't Stop Believin'
Juice Newton,Queen Of Hearts
KC & The Sunshine Band,Give It Up
Kansas,Carry on Wayward Son
Kenny Loggins,Danger Zone - From Top Gun Original Soundtrack
Kenny Loggins,Footloose
Kim Carnes,Bette Davis Eyes
Kool & The Gang,Celebration
Kool & The Gang,Celebration - Single Version
Kool & The Gang,Get Down On It - Single Version
Kool & The Gang,Hollywood Swinging
Kool & The Gang,Jungle Boogie
Kool & The Gang,Ladies Night - Single Version
Laura Branigan,Self Control
Lionel Richie,All Night Long (All Night) - Single Version
Mark Knopfler,Irish Boy
Men At Work,Down Under
Men At Work,Overkill
Men At Work,Who Can It Be Now?
Paul Simon,You Can Call Me Al
Peter Gabriel,My Body Is A Cage
Peter Gabriel,Sledgehammer
Phil Collins,Another Day in Paradise
Phil Collins,In The Air Tonight
Phil Collins,One More Night - 2016 Remaster
Phil Collins,Son Of Man
Phil Collins,Strangers Like Me
Phil Collins,Sussudio
Phil Collins,Two Worlds - Phil Version
Phil Collins,You Can't Hurry Love
"Philip Bailey,Phil Collins",Easy Lover
Richard Marx,Right Here Waiting
Rick Astley,Never Gonna Give You Up
Rick Astley,Together Forever
Rod Stewart,Da Ya Think I'm Sexy?
Simple Minds,Don't You (Forget About Me)
Starship,Nothing's Gonna Stop Us Now
Starship,We Built This City
Steppenwolf,Born To Be Wild
Steppenwolf,Magic Carpet Ride
Steve Miller Band,The Joker
Survivor,Burning Heart - From Rocky IV Soundtrack
Survivor,Eye of the Tiger
TOTO,Africa
TOTO,Rosanna
The Bangles,Eternal Flame
The Bangles,Manic Monday
The Bangles,Walk Like an Egyptian
The J. Geils Band,Centerfold
The Pointer Sisters,Automatic - 12 Special Remix
The Pointer Sisters,Jump (For My Love)
Tiffany,I Think We're Alone Now
Tina Turner,What's Love Got to Do with It - 2015 Remaster
Tom Petty,Free Fallin'
Tom Petty,Love Is A Long Road
Tom Petty,Runnin' Down A Dream
Wet Wet Wet,Love Is All Around - From Four Weddings and a Funeral Original Motion Picture Soundtrack
Wham!,Last Christmas - Single Version
Wham!,Wake Me Up Before You Go-Go
Yes,Owner of a Lonely Heart
