Artist,Song
"Aanysa,Snakehips",Burn Break Crash
"AlunaGeorge,KAYTRANADA",Kaleidoscope Love - Kaytranada Edition
"AlunaGeorge,Tchami",You Know You Like It - Tchami Remix
"Becky Hill,Chase & Status",Disconnect
"Calibre,High Contrast",Mr Majestic
Calvin Harris,Acceptable in the 80's
Calvin Harris,I'm Not Alone - Radio Edit
"Calvin Harris,Ayah Marar",Thinking About You (feat. Ayah Marar)
"Calvin Harris,Disciples",How Deep Is Your Love
"Calvin Harris,Dua Lipa",One Kiss (with Dua Lipa)
"Calvin Harris,Ellie Goulding",Outside (feat. Ellie Goulding)
"CamelPhat,LOWES",Easier (feat. LOWES)
"CamelPhat,LOWES,Sub Focus",Easier (feat. LOWES) - Sub Focus Remix
"Chase & Status,Stefflon Don",Selecta (feat. Stefflon Don)
"Clean Bandit,Jess Glynne",Rather Be (feat. Jess Glynne)
"Clean Bandit,Julia Michaels",I Miss You (feat. Julia Michaels)
"DJ Fresh,Fox Stevenson",Gold Dust - Fox Stevenson Remix
"DJ Fresh,Ms. Dynamite",Gold Dust
"DJ Fresh,Stamina MC",Hypercaine - Original Mix
"DJ Snake,AlunaGeorge",You Know You Like It
"Dimension,Poppy Baskcomb",Where Do We Go (feat. Poppy Baskcomb)
"Dimension,Raphaella",Pull Me Under
Disclosure,Afterthought
Disclosure,Echoes
Disclosure,F For You
Disclosure,Grab Her!
Disclosure,Jaded
Disclosure,Molecules
Disclosure,Second Chance
Disclosure,Stimulation
Disclosure,Tenderly
Disclosure,What's In Your Head
Disclosure,When A Fire Starts To Burn
"Disclosure,AlunaGeorge",White Noise
"Disclosure,Brendan Reilly",Moving Mountains
"Disclosure,Edward MacFarlane",Defeated No More
"Disclosure,Eliza Doolittle",You & Me
"Disclosure,Eliza Doolittle,Flume",You & Me - Flume Remix
"Disclosure,Fatoumata Diawara",Douha (Mali Mali)
"Disclosure,Gregory Porter",Holding On
"Disclosure,Jamie Woon",January
"Disclosure,Jessie Ware",Confess To Me
"Disclosure,Jordan Rakei",Masterpiece
"Disclosure,Kwabs",Willing & Able
"Disclosure,LION BABE",Hourglass
"Disclosure,London Grammar",Help Me Lose My Mind
"Disclosure,Lorde",Magnets
"Disclosure,Miguel",Good Intentions
"Disclosure,Nao",Superego
"Disclosure,Sam Smith",Latch
"Disclosure,Sam Smith",Omen
"Disclosure,Sam Smith",Omen - Radio Edit
"Disclosure,Sasha Keable",Voices
"Disclosure,Sinéad Harnett",Boiling
"Disclosure,The Weeknd",Nocturnal
"Dizzee Rascal,Armand Van Helden",Bonkers
Duke Dumont,Ocean Drive
"Duke Dumont,A*M*E",Need U (100%) (feat. A*M*E) - Radio Edit
"Duke Dumont,Gorgon City,NAATIONS",Real Life
"Duke Dumont,Shaun Ross","Red Light Green Light - For Club Play Only, Pt. 6"
"Ed Sheeran,Rudimental",Bloodstream
"Friction,Flowidus,Raphaella",By Your Side
High Contrast,If We Ever
High Contrast,Kiss Kiss Bang Bang
"High Contrast,Unglued",If We Ever - Unglued Remix
"Jessie Ware,Disclosure",Running - Disclosure Remix
"John Summit,Hayla",Where You Are
"Jonas Blue,Dakota",Fast Car
"Jonas Blue,JP Cooper",Perfect Strangers
"Jonas Blue,JP Cooper",Perfect Strangers - Club Mix
